.	Basic Statistics	Per Base Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
KO_1_SRR10045016_1	1	1	1	0.25	1	1	1	0.25	1	1
KO_1_SRR10045016_2	1	1	1	0.25	1	1	1	0.25	0.5	1
KO_2_SRR10045017_1	1	0.25	1	0.25	1	1	1	0.25	1	1
KO_2_SRR10045017_2	1	1	1	0.25	1	1	1	0.25	0.5	1
KO_3_SRR10045018_1	1	0.25	1	0.25	1	1	1	0.25	1	1
KO_3_SRR10045018_2	1	0.25	1	0.5	1	1	1	0.25	0.5	1
WT_1_SRR10045019_1	1	1	1	0.25	1	1	1	0.25	1	1
WT_1_SRR10045019_2	1	1	1	0.25	1	1	1	0.25	0.5	1
WT_2_SRR10045020_1	1	1	1	0.25	1	1	1	0.25	1	1
WT_2_SRR10045020_2	1	1	1	0.25	1	1	1	0.25	0.5	1
WT_3_SRR10045021_1	1	0.25	1	0.25	1	1	1	0.25	0.5	1
WT_3_SRR10045021_2	1	0.25	1	0.5	1	1	1	0.25	0.5	1
