Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64
KO_1_SRR10045016_1 - polya	(1, 0.004194603803537664)	(2, 0.007501887571711592)	(3, 0.010486509508844161)	(4, 0.014277786023580126)	(5, 0.016375087925348957)	(6, 0.01823039345383677)	(7, 0.021053684475448663)	(8, 0.022586328172895114)	(9, 0.025409619194507006)	(10, 0.030249546660127385)	(11, 0.03162085944205316)	(12, 0.032911506766218596)	(13, 0.035815463245590824)	(14, 0.0371867760275166)	(15, 0.0383967578939217)	(16, 0.04001006704912849)	(17, 0.04323668535954208)	(18, 0.04904459831828654)	(19, 0.05122256567781571)	(20, 0.052755209375262166)	(21, 0.05477184581927066)	(22, 0.0587244532495273)	(23, 0.06219306793322191)	(24, 0.06461303166603209)	(25, 0.07017894825149554)	(26, 0.07324423564638845)	(27, 0.07647085395680203)	(28, 0.07776150128096747)	(29, 0.08050412684481902)	(30, 0.08244009783106718)	(31, 0.0869573634656462)	(32, 0.08832867624757197)	(33, 0.09002265086053911)	(34, 0.0912326327269442)	(35, 0.09236194913558896)	(36, 0.09373326191751473)	(37, 0.0959112292770439)	(38, 0.09687921477016798)	(39, 0.09841185846761444)	(40, 0.09921851304521782)	(41, 0.10075115674266429)	(42, 0.10252579681339176)	(43, 0.10365511322203651)	(44, 0.10478442963068127)	(45, 0.10631707332812772)	(46, 0.10793038248333452)	(47, 0.1123669826601532)	(48, 0.1143836191041617)	(49, 0.11631959009040985)	(50, 0.11793289924561665)	(51, 0.11914288111202173)	(52, 0.12003020114738547)	(53, 0.12140151392931124)	(54, 0.12220816850691464)	(55, 0.12349881583108008)	(56, 0.12478946315524551)	(57, 0.1261607759371713)	(58, 0.12785475055013842)	(59, 0.12938739424758489)	(60, 0.13083937248727098)	(61, 0.13132336523383303)	(62, 0.13277534347351913)	(63, 0.13850259097450326)	(64, 0.14576248217293383)	(65, 0.14818244590574403)
KO_1_SRR10045016_2 - polya	(1, 0.022102335426333077)	(2, 0.026054942856589724)	(3, 0.027829582927317197)	(4, 0.02944289208252399)	(5, 0.030733539406689426)	(6, 0.03154019398429282)	(7, 0.03226618310413588)	(8, 0.03670278328095456)	(9, 0.04146204528881461)	(10, 0.044366001768186836)	(11, 0.04493065997250921)	(12, 0.04638263821219533)	(13, 0.04718929278979872)	(14, 0.04831860919844348)	(15, 0.05001258381141061)	(16, 0.05267454391750182)	(17, 0.05582049677015507)	(18, 0.05880511870728764)	(19, 0.06009576603145308)	(20, 0.06308038796858564)	(21, 0.06477436258155278)	(22, 0.06550035170139583)	(23, 0.06759765360316466)	(24, 0.06872697001180943)	(25, 0.07098560282909894)	(26, 0.07380889385071082)	(27, 0.07542220300591762)	(28, 0.07848749040081053)	(29, 0.07937481043617427)	(30, 0.08034279592929834)	(31, 0.08219810145778615)	(32, 0.08365007969747226)	(33, 0.0861507088880428)	(34, 0.08865133807861333)	(35, 0.09066797452262182)	(36, 0.09220061822006828)	(37, 0.09518524015720084)	(38, 0.09663721839688696)	(39, 0.10067049128490395)	(40, 0.10413910596859854)	(41, 0.1060750769548467)	(42, 0.10833370977213622)	(43, 0.10962435709630165)	(44, 0.11164099354031014)	(45, 0.11793289924561665)	(46, 0.1205141938939475)	(47, 0.12317615400003872)	(48, 0.12519279044404721)	(49, 0.12753208871909708)	(50, 0.13116203431831236)	(51, 0.1361632926994534)	(52, 0.13890591826330495)	(53, 0.14221320203147889)	(54, 0.14479449667980976)	(55, 0.14656913675053723)	(56, 0.1499570859764715)	(57, 0.15245771516704204)	(58, 0.1540710243222488)	(59, 0.15673298442834002)	(60, 0.16431553745781197)	(61, 0.16713882847942385)	(62, 0.17060744316311846)	(63, 0.17375339601577172)	(64, 0.17633469066410257)	(65, 0.18012596717883855)
KO_2_SRR10045017_1 - polya	(1, 0.0021283488978699958)	(2, 0.004493181006614435)	(3, 0.007252151800149615)	(4, 0.011114710911098866)	(5, 0.012691265650261825)	(6, 0.01489844228508997)	(7, 0.01655382476121108)	(8, 0.01876100139603922)	(9, 0.022229421822197733)	(10, 0.027353224724477352)	(11, 0.028456813041891425)	(12, 0.02900860720059846)	(13, 0.031452267046301045)	(14, 0.033028821785464006)	(15, 0.03436889331375252)	(16, 0.03570896484204104)	(17, 0.03775848600295289)	(18, 0.04390704948568843)	(19, 0.045641259698767686)	(20, 0.04729664217488879)	(21, 0.04934616333580064)	(22, 0.052814583761959154)	(23, 0.054706449448954704)	(24, 0.05722893703161544)	(25, 0.060460874246899506)	(26, 0.06369281146218357)	(27, 0.06763419831009097)	(28, 0.07007785815579357)	(29, 0.07196972384278912)	(30, 0.07370393405586836)	(31, 0.07922187564293873)	(32, 0.08111374132993428)	(33, 0.08284795154301354)	(34, 0.0842668508082602)	(35, 0.08537043912567427)	(36, 0.0863951997061302)	(37, 0.0882082376561676)	(38, 0.08931182597358167)	(39, 0.09151900260840981)	(40, 0.0926225909258239)	(41, 0.09419914566498684)	(42, 0.09632749456285684)	(43, 0.09743108288027091)	(44, 0.09892880988247572)	(45, 0.10026888141076425)	(46, 0.10129364199122017)	(47, 0.10523502883912757)	(48, 0.10759986094787201)	(49, 0.10933407116095126)	(50, 0.11059531495228163)	(51, 0.11193538648057015)	(52, 0.11272366385015163)	(53, 0.11422139085235644)	(54, 0.11540380690672866)	(55, 0.11650739522414273)	(56, 0.1177686390154731)	(57, 0.11855691638505457)	(58, 0.11966050470246865)	(59, 0.12068526528292457)	(60, 0.12100057623075716)	(61, 0.12265595870687827)	(62, 0.12399603023516678)	(63, 0.13014459371790232)	(64, 0.13645081267455417)	(65, 0.13928861120504749)
KO_2_SRR10045017_2 - polya	(1, 0.02270238824394662)	(2, 0.026880258302728464)	(3, 0.028299157567975127)	(4, 0.029718056833221793)	(5, 0.030742817413677716)	(6, 0.031452267046301045)	(7, 0.03255585536371512)	(8, 0.0354724816311666)	(9, 0.0392562130051577)	(10, 0.042094011535651024)	(11, 0.04280346116827436)	(12, 0.04382822174873028)	(13, 0.044852982329186206)	(14, 0.04619305385747472)	(15, 0.048636713703177306)	(16, 0.05147451223367064)	(17, 0.05446996623808026)	(18, 0.05793838666423877)	(19, 0.05919963045556914)	(20, 0.06180094577518802)	(21, 0.06290453409260209)	(22, 0.0647175720426395)	(23, 0.06747654283617469)	(24, 0.06913192531229578)	(25, 0.07118144647320764)	(26, 0.07433455595153356)	(27, 0.07535931653198948)	(28, 0.0765417325863617)	(29, 0.07827594279944096)	(30, 0.08001015301252021)	(31, 0.08150788001472502)	(32, 0.08347857343867872)	(33, 0.08647402744308834)	(34, 0.09010010334316315)	(35, 0.09183431355624241)	(36, 0.09404149019107055)	(37, 0.0977463938281035)	(38, 0.1000323981998898)	(39, 0.1036584740999646)	(40, 0.10657510036741608)	(41, 0.1080728273696209)	(42, 0.11020117626749089)	(43, 0.111856558743612)	(44, 0.11422139085235644)	(45, 0.12021229886117568)	(46, 0.12312892512862716)	(47, 0.12691265650261827)	(48, 0.12959279955919528)	(49, 0.13298239224839567)	(50, 0.13637198493759603)	(51, 0.1404710272594197)	(52, 0.1430723425790386)	(53, 0.14614662432040637)	(54, 0.1485114564291508)	(55, 0.15079746080093712)	(56, 0.15363525933143043)	(57, 0.156078919177133)	(58, 0.15781312939021228)	(59, 0.15970499507720784)	(60, 0.166720663666483)	(61, 0.1701890840926415)	(62, 0.17452460962533964)	(63, 0.17728358041887482)	(64, 0.17909661836891222)	(65, 0.18177676142548926)
KO_3_SRR10045018_1 - polya	(1, 0.0019453171353259865)	(2, 0.00380957939001339)	(3, 0.006565445331725204)	(4, 0.010050805199184264)	(5, 0.011509793050678754)	(6, 0.013130890663450408)	(7, 0.014670933395583481)	(8, 0.016859415172825215)	(9, 0.019372116472621284)	(10, 0.024478573952852)	(11, 0.025208067878599243)	(12, 0.026504945968816567)	(13, 0.029179757029889796)	(14, 0.03169245832968586)	(15, 0.032584062016710276)	(16, 0.034124104748843344)	(17, 0.035826257242253585)	(18, 0.040284275677375636)	(19, 0.04133798912567721)	(20, 0.042310647693340205)	(21, 0.043364361141641786)	(22, 0.04620128196399218)	(23, 0.04822765397995675)	(24, 0.05001086135400557)	(25, 0.05406360538593471)	(26, 0.05592786764062211)	(27, 0.058602678701695346)	(28, 0.06103432512085283)	(29, 0.06362808130128747)	(30, 0.0644386301076733)	(31, 0.0691398131847111)	(32, 0.07116618520067568)	(33, 0.07213884376833866)	(34, 0.07303044745536308)	(35, 0.07359783161983316)	(36, 0.07465154506813473)	(37, 0.07611053291962923)	(38, 0.07740741100984655)	(39, 0.07927167326453395)	(40, 0.08024433183219694)	(41, 0.08105488063858277)	(42, 0.08227070384816151)	(43, 0.08372969169965601)	(44, 0.08462129538668041)	(45, 0.08624239299945206)	(46, 0.08705294180583789)	(47, 0.08867403941860955)	(48, 0.09013302727010404)	(49, 0.0912677955990442)	(50, 0.09224045416670719)	(51, 0.0931320578537316)	(52, 0.09434788106331035)	(53, 0.0954826493922505)	(54, 0.09629319819863633)	(55, 0.09710374700502215)	(56, 0.09783324093076941)	(57, 0.09799535069204657)	(58, 0.0997785580660954)	(59, 0.10083227151439697)	(60, 0.10148071055950562)	(61, 0.10196703984333713)	(62, 0.10285864353036153)	(63, 0.10747877172676075)	(64, 0.1129094487295458)	(65, 0.11566531467125761)
KO_3_SRR10045018_2 - polya	(1, 0.02253325681752601)	(2, 0.026504945968816567)	(3, 0.028126043581588222)	(4, 0.03047663512010712)	(5, 0.031206129045854368)	(6, 0.031530348568408695)	(7, 0.032584062016710276)	(8, 0.036474696287362246)	(9, 0.03979794639354414)	(10, 0.042796976977171705)	(11, 0.04393174530611186)	(12, 0.04498545875441344)	(13, 0.04587706244143785)	(14, 0.04644444660590793)	(15, 0.04830870886059533)	(16, 0.050497190637837065)	(17, 0.0531720016989103)	(18, 0.05568470299870636)	(19, 0.056900526208285104)	(20, 0.05981850191127409)	(21, 0.06152065440468432)	(22, 0.06338491665937172)	(23, 0.06508706915278197)	(24, 0.06687027652683078)	(25, 0.0687345387815182)	(26, 0.07108513032003709)	(27, 0.072463063290893)	(28, 0.0739220511423875)	(29, 0.07473259994877332)	(30, 0.07594842315835205)	(31, 0.07732635612920796)	(32, 0.07943378302581111)	(33, 0.08194648432560718)	(34, 0.08543184419306624)	(35, 0.08632344788009065)	(36, 0.08778243573158515)	(37, 0.0902951370313812)	(38, 0.0927267834505387)	(39, 0.09605003355672058)	(40, 0.09848167997587806)	(41, 0.10099438127567413)	(42, 0.10334497281419304)	(43, 0.10577661923335052)	(44, 0.10796510101059226)	(45, 0.11404421705848596)	(46, 0.11671902811955918)	(47, 0.11923172941935525)	(48, 0.12174443071915132)	(49, 0.12587822963171905)	(50, 0.13049835782811825)	(51, 0.134632156740686)	(52, 0.13625325435345764)	(53, 0.13957650445963954)	(54, 0.14233237040135135)	(55, 0.14362924849156866)	(56, 0.14711460835902773)	(57, 0.1490599254943537)	(58, 0.1510862975103183)	(59, 0.1538421634520301)	(60, 0.1589486209322608)	(61, 0.16170448687397262)	(62, 0.16356874912866004)	(63, 0.16672988947356476)	(64, 0.16875626148952932)	(65, 0.1712689627893254)
WT_1_SRR10045019_1 - polya	(1, 0.0033442433213279844)	(2, 0.006252280992047971)	(3, 0.00865141207039196)	(4, 0.011995655391719944)	(5, 0.013958580819455935)	(6, 0.015558001538351927)	(7, 0.018029833558463916)	(8, 0.0211559740544879)	(9, 0.024282114550511887)	(10, 0.030825199309631856)	(11, 0.03242462002852785)	(12, 0.03322433038797585)	(13, 0.037368284068751825)	(14, 0.039331209496487815)	(15, 0.04049442456477581)	(16, 0.042166546225439805)	(17, 0.044492976362015796)	(18, 0.04980014511107977)	(19, 0.05110876206290376)	(20, 0.05219927618942376)	(21, 0.054743809151303745)	(22, 0.05823345435616773)	(23, 0.06070528637627972)	(24, 0.0625228099204797)	(25, 0.06804808149484769)	(26, 0.07153772669971167)	(27, 0.07466386719573566)	(28, 0.07728110109938365)	(29, 0.07997103594479962)	(30, 0.08193396137253561)	(31, 0.0856417094027036)	(32, 0.0870230272962956)	(33, 0.08840434518988759)	(34, 0.08964026119994359)	(35, 0.09080347626823158)	(36, 0.09233019604535957)	(37, 0.09429312147309556)	(38, 0.09603794407552756)	(39, 0.09850977609563955)	(40, 0.09981839304746354)	(41, 0.10156321564989552)	(42, 0.10403504767000751)	(43, 0.1053436646218315)	(44, 0.10607067403951151)	(45, 0.1077427957001755)	(46, 0.1092695154773035)	(47, 0.11275916068216747)	(48, 0.11537639458581546)	(49, 0.11617610494526347)	(50, 0.11806632943123145)	(51, 0.11959304920835945)	(52, 0.12039275956780744)	(53, 0.12221028311200743)	(54, 0.12344619912206342)	(55, 0.12417320853974342)	(56, 0.1250456198409594)	(57, 0.12562722737510343)	(58, 0.1270085452686954)	(59, 0.1289714706964314)	(60, 0.13028008764825538)	(61, 0.1313706017747754)	(62, 0.13326082626074337)	(63, 0.14031281761223935)	(64, 0.1481645193231833)	(65, 0.1506363513432953)
WT_1_SRR10045019_2 - polya	(1, 0.022537291948079897)	(2, 0.027626357871839872)	(3, 0.029371180474271865)	(4, 0.03220651720322385)	(5, 0.03315162944620784)	(6, 0.033878638863887846)	(7, 0.035041853932175834)	(8, 0.04063982644831181)	(9, 0.04434757447847979)	(10, 0.04834612627571978)	(11, 0.048855032868095775)	(12, 0.049945546994615765)	(13, 0.051326864888207764)	(14, 0.05190847242235176)	(15, 0.05358059408301575)	(16, 0.05583432327782374)	(17, 0.05786994964732773)	(18, 0.060923389201583716)	(19, 0.06310441745462371)	(20, 0.0662305579506477)	(21, 0.06703026831009569)	(22, 0.06899319373783168)	(23, 0.07095611916556767)	(24, 0.07204663329208767)	(25, 0.07357335306921566)	(26, 0.07706299827407964)	(27, 0.07844431616767164)	(28, 0.08040724159540763)	(29, 0.08193396137253561)	(30, 0.08346068114966361)	(31, 0.08506010186855961)	(32, 0.08687762541275959)	(33, 0.08964026119994359)	(34, 0.09320260734657557)	(35, 0.09465662618193556)	(36, 0.09596524313375955)	(37, 0.09952758928039154)	(38, 0.10141781376635953)	(39, 0.1070157862824955)	(40, 0.10897871171023149)	(41, 0.11086893619619949)	(42, 0.11334076821631148)	(43, 0.11544909552758346)	(44, 0.11806632943123145)	(45, 0.1254091245497994)	(46, 0.1278809565699114)	(47, 0.1301346857647194)	(48, 0.1322430130759914)	(49, 0.13493294792140736)	(50, 0.14031281761223935)	(51, 0.14431136940947933)	(52, 0.1471467061384313)	(53, 0.1496185381585433)	(54, 0.1517995664115833)	(55, 0.1531808843051753)	(56, 0.15674323045180727)	(57, 0.15921506247191927)	(58, 0.16074178224904725)	(59, 0.16350441803623125)	(60, 0.17012020373711922)	(61, 0.1727374376407672)	(62, 0.1763724847291672)	(63, 0.17913512051635117)	(64, 0.18175235441999915)	(65, 0.18502389679955913)
WT_2_SRR10045020_1 - polya	(1, 0.0035857123155426836)	(2, 0.006137084540063439)	(3, 0.008757412770652324)	(4, 0.01220521307405875)	(5, 0.013929113225761965)	(6, 0.015859881395669562)	(7, 0.017928561577713418)	(8, 0.02068680182043856)	(9, 0.023720866087436215)	(10, 0.030340642669976554)	(11, 0.031719762791339125)	(12, 0.033650530961246726)	(13, 0.03792580333747069)	(14, 0.03902909943456075)	(15, 0.04040821955592332)	(16, 0.04164942766514963)	(17, 0.044131843883602265)	(18, 0.049096676320507515)	(19, 0.051027444490415116)	(20, 0.05275134464211833)	(21, 0.055233760860570955)	(22, 0.05833678113363674)	(23, 0.060957109364225624)	(24, 0.06288787753413322)	(25, 0.06826644600744725)	(26, 0.07150737829264929)	(27, 0.07523100262032822)	(28, 0.07764446283271273)	(29, 0.08019583505723349)	(30, 0.08233347124534547)	(31, 0.08591918356088815)	(32, 0.0872293476761826)	(33, 0.0891601158460902)	(34, 0.09040132395531651)	(35, 0.0913667080402703)	(36, 0.09343538822231416)	(37, 0.09529720038615364)	(38, 0.09688318852572059)	(39, 0.09922769273203697)	(40, 0.10060681285339954)	(41, 0.10253758102330714)	(42, 0.10412356916287409)	(43, 0.10570955730244104)	(44, 0.10667494138739485)	(45, 0.10784719349055302)	(46, 0.10943318163011999)	(47, 0.11260515790925389)	(48, 0.11481175010343402)	(49, 0.11612191421872844)	(50, 0.11750103434009102)	(51, 0.11819059440077231)	(52, 0.11915597848572611)	(53, 0.1203282305888843)	(54, 0.12129361467383809)	(55, 0.12239691077092815)	(56, 0.12274169080126879)	(57, 0.1235002068680182)	(58, 0.12501723900151704)	(59, 0.12646531512894774)	(60, 0.12722383119569713)	(61, 0.12874086332919596)	(62, 0.13018893945662668)	(63, 0.13515377189353192)	(64, 0.13956695628189214)	(65, 0.143773272652048)
WT_2_SRR10045020_2 - polya	(1, 0.024065646117776857)	(2, 0.029375258585022754)	(3, 0.03144393876706661)	(4, 0.033236794924837956)	(5, 0.034478003034064265)	(6, 0.035650255137222454)	(7, 0.03709833126465315)	(8, 0.04123569162874086)	(9, 0.04557992001103296)	(10, 0.048889808302303134)	(11, 0.05033788442973383)	(12, 0.05178596055716453)	(13, 0.05275134464211833)	(14, 0.05392359674527651)	(15, 0.0555785408909116)	(16, 0.05826782512756861)	(17, 0.06206040546131568)	(18, 0.0650255137222452)	(19, 0.06661150186181217)	(20, 0.06854227003171977)	(21, 0.06999034615915047)	(22, 0.07240380637153496)	(23, 0.07385188249896565)	(24, 0.07495517859605572)	(25, 0.07640325472348641)	(26, 0.08012687905116536)	(27, 0.0809543511239829)	(28, 0.08295407529995863)	(29, 0.08474693145772996)	(30, 0.0862639635912288)	(31, 0.08847055578540891)	(32, 0.09053923596745277)	(33, 0.09295269617983726)	(34, 0.09681423251965246)	(35, 0.09826230864708316)	(36, 0.09950351675630947)	(37, 0.10281340504757965)	(38, 0.10501999724175975)	(39, 0.10929526961798372)	(40, 0.11219142187284513)	(41, 0.11384636601848021)	(42, 0.11591504620052406)	(43, 0.11729416632188663)	(44, 0.11901806647358985)	(45, 0.12549993104399393)	(46, 0.12798234726244656)	(47, 0.1317059715901255)	(48, 0.1339125637843056)	(49, 0.1377741001241208)	(50, 0.1430837125913667)	(51, 0.149151841125362)	(52, 0.15184112536201902)	(53, 0.15556474968969797)	(54, 0.1570817818231968)	(55, 0.15970211005378568)	(56, 0.16390842642394152)	(57, 0.1659771066059854)	(58, 0.16832161081230176)	(59, 0.17080402703075437)	(60, 0.1756999034615915)	(61, 0.17900979175286166)	(62, 0.18328506412908566)	(63, 0.1860433043718108)	(64, 0.18900841263274032)	(65, 0.19259412494828299)
