Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42
KO_1_SRR10045016_1	(1, 0.21206948845193307)	(2, 0.0007259891198430573)	(3, 0.0)	(4, 0.0005646582043223779)	(5, 0.06033776240473409)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.00048399274656203825)	(10, 0.00012099818664050956)	(12, 0.0)	(14, 0.0)	(16, 0.00024199637328101912)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.00044366001768186836)	(26, 0.0)	(28, 0.0003226618310413588)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.00012099818664050956)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 4.033272888016985e-05)	(56, 0.0)	(58, 0.0005646582043223779)	(60, 0.00028232910216118896)	(62, 0.0)	(64, 0.000524325475442208)	(66, 0.0)	(68, 0.0)	(70, 0.0001613309155206794)	(72, 0.0001613309155206794)	(74, 0.001976303715128323)	(76, 0.1460851440039752)
KO_1_SRR10045016_2	(1, 0.02718425926523448)	(2, 0.001855305528487813)	(3, 0.0005646582043223779)	(4, 0.0015326436974464543)	(5, 0.0)	(6, 0.01814972799607643)	(7, 0.06106375152457715)	(8, 0.2757145346248411)	(9, 0.07171159194894199)	(10, 0.07957647408057511)	(12, 0.01915804621808068)	(14, 0.004597931092339363)	(16, 0.0)	(18, 0.0)	(20, 0.003468614683694607)	(22, 0.001814972799607643)	(24, 0.003952607430256646)	(26, 0.005081923838901401)	(28, 0.013551796903737071)	(30, 0.005041591110021231)	(32, 0.011212498628687218)	(34, 0.007340556656190913)	(36, 0.0009679854931240765)	(38, 0.0001613309155206794)	(40, 0.009518524015720084)	(42, 0.0006856563909628875)	(44, 0.010688173153245011)	(46, 0.025812946483308702)	(48, 0.012624144139493162)	(50, 0.013995456921418938)	(52, 0.009236194913558895)	(54, 0.01335013325933622)	(56, 0.030531875762288576)	(58, 0.04710862733203838)	(60, 0.004557598363459194)	(62, 0.0008873200353637367)	(64, 0.03194352127309452)	(66, 0.013713127819257749)	(68, 0.019642038964642717)	(70, 0.002863623750492059)	(72, 0.004678596550099702)	(74, 0.0031862855815334183)	(76, 0.006533902078587515)
KO_2_SRR10045017_1	(1, 0.047927264070553977)	(2, 0.0)	(3, 0.00118241605437222)	(4, 0.016317341550336636)	(5, 0.06361398372522542)	(6, 0.0)	(7, 0.0)	(8, 7.882773695814799e-05)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.00019706934239536997)	(18, 0.0)	(20, 0.0)	(22, 0.0013794853967675899)	(24, 0.000354724816311666)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.00011824160543722199)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.00011824160543722199)	(74, 0.0)	(76, 0.19509864897141627)
KO_2_SRR10045017_2	(1, 0.030742817413677716)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.02506722035269106)	(7, 0.02900860720059846)	(8, 0.3881477767819207)	(9, 0.0645599165687232)	(10, 0.0697231333394819)	(12, 0.051710995444545084)	(14, 0.004217283927260918)	(16, 0.0016553824761211078)	(18, 3.941386847907399e-05)	(20, 0.0027589707935351798)	(22, 0.0)	(24, 0.010050536462163868)	(26, 0.0064638744305681355)	(28, 0.002049521160911848)	(30, 0.009498742303456834)	(32, 0.010129364199122016)	(34, 0.00571501092946573)	(36, 0.0016159686076420339)	(38, 0.0038625591109492513)	(40, 0.0022860043717862913)	(42, 0.001024760580455924)	(44, 0.004374939401177213)	(46, 0.01856393205364385)	(48, 0.006187977351214617)	(50, 7.882773695814799e-05)	(52, 0.004847905822926101)	(54, 0.0011430021858931457)	(56, 0.008907534276270723)	(58, 0.010129364199122016)	(60, 0.0)	(62, 0.0004335525532698139)	(64, 0.008710464933875353)	(66, 0.00216776276634907)	(68, 0.002640729188097958)	(70, 0.0010641744489349979)	(72, 0.0025224875826607355)	(74, 0.0)	(76, 0.0)
KO_3_SRR10045018_1	(1, 0.06038588607574417)	(2, 0.005673841644700794)	(3, 0.0)	(4, 0.006484390451086622)	(5, 0.08121699039985994)	(6, 0.0)	(7, 0.0)	(8, 0.0009726585676629932)	(9, 0.0017021524934102382)	(10, 0.0)	(12, 0.0)	(14, 0.0004863292838314966)	(16, 0.0)	(18, 0.0)	(20, 8.105488063858278e-05)	(22, 0.0)	(24, 0.0)	(26, 8.105488063858278e-05)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0008916036870244106)	(58, 0.0010131860079822847)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.0007294939257472449)	(68, 0.0)	(70, 0.00012158232095787415)	(72, 0.004336436114164179)	(74, 0.0004458018435122053)	(76, 0.19842234780325063)
KO_3_SRR10045018_2	(1, 0.21552492761799158)	(2, 0.0017021524934102382)	(3, 0.0004863292838314966)	(4, 0.0)	(5, 0.001377932970855907)	(6, 0.023505915385189004)	(7, 0.028693427746058302)	(8, 0.41119140947953037)	(9, 0.09523948475033475)	(10, 0.09329416761500876)	(12, 0.08251386849007726)	(14, 0.012604033939299621)	(16, 0.0031206129045854365)	(18, 0.0)	(20, 0.007457049018749614)	(22, 0.0006079116047893709)	(24, 0.003201667785224019)	(26, 0.011428738170040172)	(28, 0.0002836920822350397)	(30, 0.0057954239656586685)	(32, 0.006119643488213)	(34, 0.008834981989605523)	(36, 0.0027963933820311054)	(38, 0.002958503143308271)	(40, 0.0014589878514944898)	(42, 0.004863292838314967)	(44, 0.004174326352887013)	(46, 0.0034853598674590594)	(48, 0.0012158232095787417)	(50, 0.0004458018435122053)	(52, 0.006524917891405913)	(54, 0.001256350649898033)	(56, 0.012887726021534662)	(58, 0.0047822379576763835)	(60, 0.0019453171353259863)	(62, 0.0011347683289401587)	(64, 0.011752957692594502)	(66, 0.0057954239656586685)	(68, 0.0)	(70, 0.0)	(72, 0.0038906342706519726)	(74, 0.0)	(76, 0.0019453171353259863)
WT_1_SRR10045019_1	(1, 0.20865170287415902)	(2, 0.000436205650607998)	(3, 0.0)	(4, 0.0007997103594479962)	(5, 0.06005097790036772)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.000654308475911997)	(10, 7.270094176799966e-05)	(12, 0.0)	(14, 0.0)	(16, 0.00014540188353599933)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.00014540188353599933)	(26, 0.0)	(28, 0.000436205650607998)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.00018175235441999916)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0006906589467959968)	(60, 0.0002544532961879988)	(62, 0.0)	(64, 0.000872411301215996)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.00014540188353599933)	(74, 0.0026899348454159874)	(76, 0.1487461268573273)
WT_1_SRR10045019_2	(1, 0.024791021142887885)	(2, 0.0018902244859679911)	(3, 0.000872411301215996)	(4, 0.0016721216606639924)	(5, 0.0)	(6, 0.01875684297614391)	(7, 0.05968747319152772)	(8, 0.27451875611596677)	(9, 0.07211933423385566)	(10, 0.08237016702314362)	(12, 0.018938595330563912)	(14, 0.005198117336411976)	(16, 0.0)	(18, 0.0)	(20, 0.003017089083371986)	(22, 0.0010178131847519952)	(24, 0.0035986966175159834)	(26, 0.0036350470883999833)	(28, 0.011414047857575946)	(30, 0.00432570603519598)	(32, 0.010614337498127952)	(34, 0.0071610427641479665)	(36, 0.001090514126519995)	(38, 0.00014540188353599933)	(40, 0.007742650298291963)	(42, 0.0007633598885639964)	(44, 0.010468935614591952)	(46, 0.02340970324929589)	(48, 0.011304996444923948)	(50, 0.011595800211995945)	(52, 0.007342795118567966)	(54, 0.011341346915807947)	(56, 0.02755365693007187)	(58, 0.045656191430303784)	(60, 0.004034902268123981)	(62, 0.0007270094176799966)	(64, 0.029698334712227863)	(66, 0.011668501153763946)	(68, 0.017993483087579917)	(70, 0.002508182490995988)	(72, 0.00447110791873198)	(74, 0.0025808834327639882)	(76, 0.003925850855471981)
WT_2_SRR10045020_1	(1, 0.05295821266032272)	(2, 0.0)	(3, 0.0019997241759757275)	(4, 0.016756309474555232)	(5, 0.06585298579506274)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.00017239001517032132)	(18, 0.0)	(20, 0.0)	(22, 0.001654944145635085)	(24, 0.00034478003034064264)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.00024134602123844986)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 3.447800303406427e-05)	(72, 6.895600606812854e-05)	(74, 0.0)	(76, 0.19555923320921254)
WT_2_SRR10045020_2	(1, 0.03247827885808854)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.02206592194180113)	(7, 0.025168942214866916)	(8, 0.3893256102606537)	(9, 0.06833540201351539)	(10, 0.07523100262032824)	(12, 0.05368225072403806)	(14, 0.003344366294304234)	(16, 0.0011377741001241208)	(18, 0.00017239001517032132)	(20, 0.00258585022755482)	(22, 0.0)	(24, 0.00968831885257206)	(26, 0.0056888705006206035)	(28, 0.0014825541304647634)	(30, 0.008378154737277616)	(32, 0.008412632740311681)	(34, 0.004275272376223969)	(36, 0.0013101641152944421)	(38, 0.0026548062336229482)	(40, 0.0016204661426010205)	(42, 0.001275686112260378)	(44, 0.0036201903185767484)	(46, 0.017963039580747485)	(48, 0.004378706385326162)	(50, 6.895600606812854e-05)	(52, 0.004171838367121776)	(54, 0.0009653840849537994)	(56, 0.008653978761550132)	(58, 0.010481312922355537)	(60, 6.895600606812854e-05)	(62, 0.0006550820576472211)	(64, 0.00751620466142601)	(66, 0.001551510136532892)	(68, 0.002689284236657013)	(70, 0.0007929940697834781)	(72, 0.002447938215418563)	(74, 0.0)	(76, 0.0)
