Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42
KO_1_SRR10045016_1	(1, 33.065827046805325)	(2, 33.23000383967579)	(3, 33.24408480198243)	(4, 33.229075380256965)	(5, 33.22645697949807)	(6, 36.749714444279526)	(7, 37.159787785313725)	(8, 37.299890778970195)	(9, 37.35458115267713)	(10, 37.345391340401775)	(12, 37.33438655532682)	(14, 37.31553060124806)	(16, 37.305243738747166)	(18, 37.3021667548609)	(20, 37.303134337026734)	(22, 37.22766010480056)	(24, 37.2649360161589)	(26, 37.23738956898833)	(28, 37.18350625318629)	(30, 37.17965810752383)	(32, 37.17459715670394)	(34, 37.174896425552234)	(36, 37.099774298049184)	(38, 36.91578687540736)	(40, 36.72873255206149)	(42, 36.594445537909536)	(44, 36.53944984544498)	(46, 36.42942619433276)	(48, 36.3491543840063)	(50, 36.28788775885545)	(52, 36.18686838946574)	(54, 35.98079557114371)	(56, 36.01306014093869)	(58, 36.012522102335424)	(60, 35.960452952678416)	(62, 35.94871532191971)	(64, 35.764381037809514)	(66, 35.65830313756365)	(68, 35.5265514387491)	(70, 35.4173054026497)	(72, 35.20466278612038)	(74, 34.47733542633308)	(76, 28.70312691580462)
KO_1_SRR10045016_2	(1, 32.52334861674873)	(2, 32.614372325940074)	(3, 32.60104074573602)	(4, 32.546137415220606)	(5, 32.535388742974035)	(6, 36.627216686779256)	(7, 36.68463355295849)	(8, 36.550769225805205)	(9, 36.58419618484651)	(10, 36.54948745168139)	(12, 36.56274320635515)	(14, 36.54509562083363)	(16, 36.5520082472364)	(18, 36.55989571569621)	(20, 36.54941202947838)	(22, 36.527835229509364)	(24, 36.49221417001697)	(26, 36.468622346913094)	(28, 36.44425169881454)	(30, 36.42053323094198)	(32, 36.3852178935345)	(34, 36.34108824155756)	(36, 36.32426586366893)	(38, 36.26582091623054)	(40, 36.202985751253536)	(42, 36.141238763301736)	(44, 36.06349097514858)	(46, 36.020912519924366)	(48, 35.97666025645162)	(50, 35.89136661805229)	(52, 35.83852187001891)	(54, 35.84128506527449)	(56, 35.743226521511865)	(58, 35.61380807106304)	(60, 35.51168721484761)	(62, 35.37283856905931)	(64, 35.12987945353993)	(66, 34.901823281341755)	(68, 34.784663560508776)	(70, 34.52411937519763)	(72, 34.05471417001697)	(74, 33.37559813436929)	(76, 26.376361632926994)
KO_2_SRR10045017_1	(1, 33.075297042619795)	(2, 33.15981850701843)	(3, 33.19129757549529)	(4, 33.16944100886891)	(5, 33.14756237047617)	(6, 36.65783796012735)	(7, 37.062236074883195)	(8, 37.23161480983991)	(9, 37.29423950546631)	(10, 37.25609003388804)	(12, 37.2521470704854)	(14, 37.235769031577604)	(16, 37.2231979782262)	(18, 37.21200641027157)	(20, 37.19569931632704)	(22, 37.19025350211928)	(24, 37.169967578151784)	(26, 37.111398569591884)	(28, 37.084847417090955)	(30, 37.032635865516724)	(32, 37.01667127808928)	(34, 36.96945425192872)	(36, 36.88849343640848)	(38, 36.67957667928699)	(40, 36.45579143442045)	(42, 36.27528419369867)	(44, 36.18107755939867)	(46, 36.065133782493774)	(48, 36.0155901556769)	(50, 35.86282121317464)	(52, 35.7653247032727)	(54, 35.584775289711644)	(56, 35.51629842289347)	(58, 35.376443434398375)	(60, 35.27636295127894)	(62, 35.13569879606398)	(64, 34.892277561921155)	(66, 34.741980657249904)	(68, 34.50683081754611)	(70, 34.17897955917953)	(72, 33.74470612625523)	(74, 32.7889584412288)	(76, 23.426319320126535)
KO_2_SRR10045017_2	(1, 32.59437453737972)	(2, 32.6814965288206)	(3, 32.688162990535155)	(4, 32.63771954510089)	(5, 32.613554114059006)	(6, 36.75584606204216)	(7, 36.8080962392075)	(8, 36.628000085133955)	(9, 36.68957400702671)	(10, 36.68286064280866)	(12, 36.68104524002652)	(14, 36.685769780441106)	(16, 36.698375517996766)	(18, 36.68999455300337)	(20, 36.67211208673574)	(22, 36.647816589927864)	(24, 36.61098787708234)	(26, 36.586351056173434)	(28, 36.56961316864643)	(30, 36.531596915943624)	(32, 36.484342052469316)	(34, 36.45295639486075)	(36, 36.39150623251502)	(38, 36.377568700343446)	(40, 36.316183965019405)	(42, 36.24563392871923)	(44, 36.18152017714169)	(46, 36.08854325553824)	(48, 36.05059361227316)	(50, 35.94645271242301)	(52, 35.86814090300326)	(54, 35.7522377223829)	(56, 35.65368413252834)	(58, 35.515801019873265)	(60, 35.406866211200004)	(62, 35.289455450110324)	(64, 35.06804055529411)	(66, 34.87243110258721)	(68, 34.64831675191886)	(70, 34.38247336213699)	(72, 33.975055750916965)	(74, 33.19487990200136)	(76, 25.589445438987727)
KO_3_SRR10045018_1	(1, 33.203649577055636)	(2, 33.29267863685144)	(3, 33.370322728112754)	(4, 33.36374593509774)	(5, 33.34229881368077)	(6, 36.918791115088204)	(7, 37.309525083243365)	(8, 37.4464105656658)	(9, 37.498229761406854)	(10, 37.48162404801043)	(12, 37.45553856104891)	(14, 37.43640109845575)	(16, 37.410614298729385)	(18, 37.3765615222755)	(20, 37.34341493938716)	(22, 37.30027226334407)	(24, 37.22602964014875)	(26, 37.13683766004286)	(28, 37.02175431941458)	(30, 36.915927040880845)	(32, 36.74528584814206)	(34, 36.59594060946786)	(36, 36.3858783755305)	(38, 35.928851241598665)	(40, 35.41561376376717)	(42, 34.87098535176197)	(44, 34.510567530063256)	(46, 34.212636536946434)	(48, 33.58991580018999)	(50, 33.037337930766164)	(52, 32.71694136165715)	(54, 32.14867288843931)	(56, 31.695179747303307)	(58, 31.05599392736834)	(60, 30.40952978442644)	(62, 29.811503227605346)	(64, 29.02344147675508)	(66, 28.1569100906842)	(68, 27.123784582064822)	(70, 26.190907344544847)	(72, 24.622193069483487)	(74, 22.412318882869215)	(76, 12.918962951435157)
KO_3_SRR10045018_2	(1, 32.68490968865199)	(2, 32.79326466363845)	(3, 32.83785619567297)	(4, 32.7410888264226)	(5, 32.73615663693574)	(6, 36.958315906534)	(7, 36.98634711590524)	(8, 36.85704999140818)	(9, 36.925971766963976)	(10, 36.9279799016318)	(12, 36.8953212691249)	(14, 36.8965772145004)	(16, 36.89971930694835)	(18, 36.88596510425279)	(20, 36.82300856263759)	(22, 36.73644802923163)	(24, 36.7359102300986)	(26, 36.665289544244615)	(28, 36.587500364746965)	(30, 36.451022993648536)	(32, 36.28730348244189)	(34, 36.220869281172895)	(36, 36.11611638508201)	(38, 35.96116863305807)	(40, 35.789403614399234)	(42, 35.583981772378436)	(44, 35.28702424837809)	(46, 34.94116834126051)	(48, 34.71584833659173)	(50, 34.4569829590219)	(52, 33.97155865293273)	(54, 33.5330525592268)	(56, 33.26469727623179)	(58, 33.049534258655854)	(60, 32.4960266897511)	(62, 31.98091765472566)	(64, 31.48405366805757)	(66, 30.824689640862033)	(68, 30.32373603019132)	(70, 29.387923390169014)	(72, 28.256491280115938)	(74, 26.912931252492438)	(76, 16.250754620938746)
WT_1_SRR10045019_1	(1, 33.09195578619526)	(2, 33.242205368528346)	(3, 33.26315414489879)	(4, 33.25459433601503)	(5, 33.237204997753544)	(6, 36.81816622052522)	(7, 37.21710609539236)	(8, 37.34646942416492)	(9, 37.4000158488053)	(10, 37.39282100010323)	(12, 37.37793766330449)	(14, 37.36997981821857)	(16, 37.362872210646614)	(18, 37.3559180020618)	(20, 37.35793618020528)	(22, 37.280330832905605)	(24, 37.320533726693895)	(26, 37.295932818513734)	(28, 37.241505985468535)	(30, 37.238900383715574)	(32, 37.230328215671705)	(34, 37.2345346921624)	(36, 37.17374507269368)	(38, 37.01186443019183)	(40, 36.85262464939971)	(42, 36.73796654011856)	(44, 36.69015512926954)	(46, 36.582105172090394)	(48, 36.51671612754072)	(50, 36.45733836036112)	(52, 36.36420409189981)	(54, 36.16131611968902)	(56, 36.20270912789404)	(58, 36.20880364784246)	(60, 36.159754139955126)	(62, 36.14695477565216)	(64, 35.97237582315641)	(66, 35.87914413543314)	(68, 35.760790273777204)	(70, 35.660023133439665)	(72, 35.471252593606096)	(74, 34.76748275897166)	(76, 29.095321839799112)
WT_1_SRR10045019_2	(1, 32.48476042858659)	(2, 32.56964314015724)	(3, 32.55306441739646)	(4, 32.48536893546919)	(5, 32.48069135687584)	(6, 36.54854968891267)	(7, 36.6102604293136)	(8, 36.4756895320822)	(9, 36.49962849818757)	(10, 36.46815117143027)	(12, 36.47877859509792)	(14, 36.46064043713622)	(16, 36.477762962941426)	(18, 36.48757104699534)	(20, 36.48229186810886)	(22, 36.45739579410511)	(24, 36.42521326821267)	(26, 36.39285989510708)	(28, 36.36622954013747)	(30, 36.3434050794694)	(32, 36.302098585385075)	(34, 36.25145365533065)	(36, 36.240901840642444)	(38, 36.19002499458378)	(40, 36.123248816065164)	(42, 36.059734728803676)	(44, 35.985219535033856)	(46, 35.93815730738976)	(48, 35.891511656141994)	(50, 35.80873072879786)	(52, 35.753366053603855)	(54, 35.74953762201035)	(56, 35.65368070327983)	(58, 35.525876809708194)	(60, 35.41859057592232)	(62, 35.27886881696665)	(64, 35.028394443321616)	(66, 34.80491938192567)	(68, 34.68283269041467)	(70, 34.419905735958906)	(72, 33.94927691643318)	(74, 33.25308215642626)	(76, 26.219491413291767)
WT_2_SRR10045020_1	(1, 33.11245966073645)	(2, 33.195077230726795)	(3, 33.22940766790787)	(4, 33.21006206040546)	(5, 33.181858364363535)	(6, 36.7709295269618)	(7, 37.168496759067715)	(8, 37.31855192387257)	(9, 37.372654116673566)	(10, 37.352490001379124)	(12, 37.339997931319814)	(14, 37.32816645979865)	(16, 37.32149737967177)	(18, 37.315457523100264)	(20, 37.29757998896704)	(22, 37.293154392497584)	(24, 37.2755988829127)	(26, 37.22145186870776)	(28, 37.19756964556613)	(30, 37.157727210039994)	(32, 37.1437363811888)	(34, 37.101417390704725)	(36, 37.02542270031719)	(38, 36.86728968418149)	(40, 36.693705350986065)	(42, 36.54889670390291)	(44, 36.46752861674251)	(46, 36.36307716177079)	(48, 36.328199903461595)	(50, 36.191285684733145)	(52, 36.10104813129223)	(54, 35.9461863880844)	(56, 35.87962212108675)	(58, 35.75966004689009)	(60, 35.665409943456076)	(62, 35.54677872017653)	(64, 35.32539339401462)	(66, 35.206067094193905)	(68, 34.99303199558682)	(70, 34.70340159977934)	(72, 34.32873879464901)	(74, 33.47638739484209)	(76, 24.1621466004689)
WT_2_SRR10045020_2	(1, 32.59078196110881)	(2, 32.671794924837954)	(3, 32.67753137498276)	(4, 32.62657564473866)	(5, 32.60615087574128)	(6, 36.72176734243553)	(7, 36.76892911322576)	(8, 36.58562060405461)	(9, 36.65926286029513)	(10, 36.656895600606816)	(12, 36.65011101916977)	(14, 36.65228761550131)	(16, 36.66719590401324)	(18, 36.658415046200524)	(20, 36.64591366708041)	(22, 36.62366570128258)	(24, 36.595205144118054)	(26, 36.56260171010895)	(28, 36.54691215004827)	(30, 36.50595710936423)	(32, 36.46676320507517)	(34, 36.431704592470005)	(36, 36.377767894083576)	(38, 36.367493104399394)	(40, 36.31713384360778)	(42, 36.24651151565301)	(44, 36.182436560474414)	(46, 36.092026961798375)	(48, 36.05950179285616)	(50, 35.96427113501586)	(52, 35.88153530547511)	(54, 35.77751861812164)	(56, 35.67886188111984)	(58, 35.545491656323264)	(60, 35.44530788856709)	(62, 35.3384374569025)	(64, 35.11731795614398)	(66, 34.92131188801545)	(68, 34.709963108536755)	(70, 34.4540659908978)	(72, 34.07564646255689)	(74, 33.30752103158185)	(76, 25.734864156668046)
