Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
KO_1_SRR10045016_1	(0.0, 3.0)	(1.0, 6.5)	(2.0, 7.5)	(3.0, 8.0)	(4.0, 11.0)	(5.0, 9.0)	(6.0, 7.5)	(7.0, 14.0)	(8.0, 20.0)	(9.0, 29.0)	(10.0, 50.0)	(11.0, 79.0)	(12.0, 96.0)	(13.0, 112.0)	(14.0, 124.5)	(15.0, 164.5)	(16.0, 242.5)	(17.0, 277.0)	(18.0, 427.5)	(19.0, 940.0)	(20.0, 1576.5)	(21.0, 1851.0)	(22.0, 2284.0)	(23.0, 3206.5)	(24.0, 4709.5)	(25.0, 5723.0)	(26.0, 7031.0)	(27.0, 9919.0)	(28.0, 11753.5)	(29.0, 12008.0)	(30.0, 12675.0)	(31.0, 14682.5)	(32.0, 17810.0)	(33.0, 19597.0)	(34.0, 21166.0)	(35.0, 26518.5)	(36.0, 32252.0)	(37.0, 34202.0)	(38.0, 34266.0)	(39.0, 35116.0)	(40.0, 37974.0)	(41.0, 39897.5)	(42.0, 39749.0)	(43.0, 41780.5)	(44.0, 45818.5)	(45.0, 49711.0)	(46.0, 51597.0)	(47.0, 51766.5)	(48.0, 52201.5)	(49.0, 53087.0)	(50.0, 53707.0)	(51.0, 53548.5)	(52.0, 52942.0)	(53.0, 53694.5)	(54.0, 54895.0)	(55.0, 53724.0)	(56.0, 51078.5)	(57.0, 48587.0)	(58.0, 47570.0)	(59.0, 44719.0)	(60.0, 39661.0)	(61.0, 35889.5)	(62.0, 34325.0)	(63.0, 32218.5)	(64.0, 27789.0)	(65.0, 24442.5)	(66.0, 21105.0)	(67.0, 18791.0)	(68.0, 17212.0)	(69.0, 14688.0)	(70.0, 12280.5)	(71.0, 10818.0)	(72.0, 9951.0)	(73.0, 7804.5)	(74.0, 5661.5)	(75.0, 4798.0)	(76.0, 4398.0)	(77.0, 3644.5)	(78.0, 3162.0)	(79.0, 3033.0)	(80.0, 2676.5)	(81.0, 1891.0)	(82.0, 1288.5)	(83.0, 1115.0)	(84.0, 1111.0)	(85.0, 1357.5)	(86.0, 1124.0)	(87.0, 640.0)	(88.0, 625.0)	(89.0, 535.5)	(90.0, 336.5)	(91.0, 208.5)	(92.0, 205.0)	(93.0, 380.0)	(94.0, 390.5)	(95.0, 118.5)	(96.0, 11.0)	(97.0, 9.0)	(98.0, 6.5)	(99.0, 3.0)	(100.0, 0.0)
KO_1_SRR10045016_2	(0.0, 0.0)	(1.0, 0.5)	(2.0, 3.0)	(3.0, 5.0)	(4.0, 5.0)	(5.0, 10.0)	(6.0, 9.0)	(7.0, 4.5)	(8.0, 6.0)	(9.0, 7.5)	(10.0, 12.5)	(11.0, 18.0)	(12.0, 20.0)	(13.0, 28.0)	(14.0, 50.5)	(15.0, 106.0)	(16.0, 182.5)	(17.0, 218.0)	(18.0, 292.5)	(19.0, 641.5)	(20.0, 1275.5)	(21.0, 1635.0)	(22.0, 2145.5)	(23.0, 3565.5)	(24.0, 5475.0)	(25.0, 6475.0)	(26.0, 7102.5)	(27.0, 8669.0)	(28.0, 10714.0)	(29.0, 11820.0)	(30.0, 12888.0)	(31.0, 15678.0)	(32.0, 18904.5)	(33.0, 20409.0)	(34.0, 21165.0)	(35.0, 24044.0)	(36.0, 27788.0)	(37.0, 29409.0)	(38.0, 30463.0)	(39.0, 33041.5)	(40.0, 35091.0)	(41.0, 36378.0)	(42.0, 37140.0)	(43.0, 39420.5)	(44.0, 43554.5)	(45.0, 45996.5)	(46.0, 46585.0)	(47.0, 46987.0)	(48.0, 48414.0)	(49.0, 50922.0)	(50.0, 52405.0)	(51.0, 52528.0)	(52.0, 52073.5)	(53.0, 50877.0)	(54.0, 50258.0)	(55.0, 51014.0)	(56.0, 49997.0)	(57.0, 46345.5)	(58.0, 44467.0)	(59.0, 42638.0)	(60.0, 39997.5)	(61.0, 38539.5)	(62.0, 37893.0)	(63.0, 35673.5)	(64.0, 30390.0)	(65.0, 25915.5)	(66.0, 23310.5)	(67.0, 22116.0)	(68.0, 20804.5)	(69.0, 18111.0)	(70.0, 15312.5)	(71.0, 13896.0)	(72.0, 12810.0)	(73.0, 10474.5)	(74.0, 8510.0)	(75.0, 7795.0)	(76.0, 7213.0)	(77.0, 6237.5)	(78.0, 5434.0)	(79.0, 5024.0)	(80.0, 5035.0)	(81.0, 4630.5)	(82.0, 3665.0)	(83.0, 3115.0)	(84.0, 2650.5)	(85.0, 2081.5)	(86.0, 1660.5)	(87.0, 1344.0)	(88.0, 1238.5)	(89.0, 990.0)	(90.0, 708.0)	(91.0, 473.5)	(92.0, 378.0)	(93.0, 523.0)	(94.0, 491.5)	(95.0, 195.5)	(96.0, 76.0)	(97.0, 55.0)	(98.0, 22.0)	(99.0, 6.5)	(100.0, 3.0)
KO_2_SRR10045017_1	(0.0, 5.0)	(1.0, 10.5)	(2.0, 15.0)	(3.0, 15.5)	(4.0, 17.0)	(5.0, 15.0)	(6.0, 12.0)	(7.0, 13.0)	(8.0, 15.0)	(9.0, 27.5)	(10.0, 55.5)	(11.0, 75.0)	(12.0, 79.0)	(13.0, 93.5)	(14.0, 127.0)	(15.0, 164.0)	(16.0, 229.5)	(17.0, 277.0)	(18.0, 420.0)	(19.0, 852.5)	(20.0, 1434.0)	(21.0, 1726.0)	(22.0, 2163.0)	(23.0, 3161.5)	(24.0, 4723.0)	(25.0, 5723.0)	(26.0, 6958.0)	(27.0, 9785.0)	(28.0, 11828.0)	(29.0, 12279.0)	(30.0, 12813.0)	(31.0, 14547.5)	(32.0, 17707.5)	(33.0, 19667.0)	(34.0, 21343.0)	(35.0, 26413.0)	(36.0, 31857.5)	(37.0, 33908.0)	(38.0, 34035.0)	(39.0, 35242.0)	(40.0, 38335.0)	(41.0, 40137.5)	(42.0, 39927.0)	(43.0, 42062.5)	(44.0, 46395.5)	(45.0, 50412.5)	(46.0, 52232.0)	(47.0, 52499.5)	(48.0, 53144.0)	(49.0, 54421.0)	(50.0, 55321.0)	(51.0, 54836.5)	(52.0, 53876.0)	(53.0, 54436.5)	(54.0, 55473.0)	(55.0, 54660.5)	(56.0, 52860.0)	(57.0, 50487.0)	(58.0, 49102.0)	(59.0, 46350.0)	(60.0, 41556.0)	(61.0, 37532.0)	(62.0, 35550.0)	(63.0, 33675.0)	(64.0, 29326.5)	(65.0, 25861.5)	(66.0, 22571.0)	(67.0, 20272.0)	(68.0, 18609.5)	(69.0, 15816.0)	(70.0, 13109.5)	(71.0, 11534.0)	(72.0, 10534.0)	(73.0, 8209.0)	(74.0, 5993.5)	(75.0, 5103.0)	(76.0, 4699.0)	(77.0, 3888.5)	(78.0, 3322.5)	(79.0, 3163.0)	(80.0, 2783.5)	(81.0, 2010.0)	(82.0, 1368.5)	(83.0, 1121.0)	(84.0, 1115.5)	(85.0, 1327.5)	(86.0, 1113.5)	(87.0, 682.0)	(88.0, 656.5)	(89.0, 557.5)	(90.0, 373.0)	(91.0, 281.5)	(92.0, 301.0)	(93.0, 488.5)	(94.0, 523.0)	(95.0, 202.0)	(96.0, 34.0)	(97.0, 23.0)	(98.0, 7.5)	(99.0, 1.5)	(100.0, 0.0)
KO_2_SRR10045017_2	(0.0, 0.0)	(1.0, 5.0)	(2.0, 10.5)	(3.0, 9.0)	(4.0, 7.0)	(5.0, 10.0)	(6.0, 8.5)	(7.0, 6.5)	(8.0, 9.0)	(9.0, 11.0)	(10.0, 11.5)	(11.0, 12.5)	(12.0, 15.0)	(13.0, 24.0)	(14.0, 57.0)	(15.0, 117.0)	(16.0, 177.5)	(17.0, 202.0)	(18.0, 308.5)	(19.0, 663.0)	(20.0, 1286.5)	(21.0, 1662.0)	(22.0, 2142.5)	(23.0, 3507.0)	(24.0, 5407.0)	(25.0, 6423.0)	(26.0, 7038.5)	(27.0, 8687.5)	(28.0, 10949.0)	(29.0, 12177.0)	(30.0, 12995.0)	(31.0, 15578.0)	(32.0, 19137.5)	(33.0, 20932.0)	(34.0, 21564.5)	(35.0, 24136.0)	(36.0, 27694.0)	(37.0, 29313.0)	(38.0, 30854.5)	(39.0, 33811.0)	(40.0, 35532.0)	(41.0, 36773.5)	(42.0, 37709.0)	(43.0, 39621.0)	(44.0, 43855.5)	(45.0, 46601.5)	(46.0, 47025.0)	(47.0, 47442.0)	(48.0, 48993.0)	(49.0, 51707.5)	(50.0, 53288.0)	(51.0, 53480.0)	(52.0, 53176.5)	(53.0, 52247.5)	(54.0, 51814.0)	(55.0, 52377.5)	(56.0, 51223.0)	(57.0, 47720.5)	(58.0, 45936.0)	(59.0, 44128.5)	(60.0, 41347.5)	(61.0, 39885.5)	(62.0, 39397.0)	(63.0, 37202.0)	(64.0, 31718.5)	(65.0, 27122.0)	(66.0, 24570.5)	(67.0, 23327.0)	(68.0, 22001.0)	(69.0, 18991.5)	(70.0, 15966.5)	(71.0, 14625.0)	(72.0, 13393.5)	(73.0, 10947.5)	(74.0, 8828.0)	(75.0, 7923.0)	(76.0, 7373.5)	(77.0, 6421.0)	(78.0, 5513.0)	(79.0, 5008.0)	(80.0, 5220.5)	(81.0, 4904.0)	(82.0, 3774.0)	(83.0, 3173.0)	(84.0, 2787.0)	(85.0, 2296.0)	(86.0, 1820.0)	(87.0, 1449.0)	(88.0, 1389.5)	(89.0, 1206.5)	(90.0, 872.0)	(91.0, 510.5)	(92.0, 360.0)	(93.0, 554.0)	(94.0, 553.5)	(95.0, 225.5)	(96.0, 92.0)	(97.0, 62.5)	(98.0, 22.5)	(99.0, 8.0)	(100.0, 4.0)
KO_3_SRR10045018_1	(0.0, 4.0)	(1.0, 14.0)	(2.0, 22.0)	(3.0, 16.0)	(4.0, 12.0)	(5.0, 11.0)	(6.0, 7.0)	(7.0, 14.5)	(8.0, 25.0)	(9.0, 26.0)	(10.0, 36.5)	(11.0, 56.5)	(12.0, 67.0)	(13.0, 84.5)	(14.0, 112.0)	(15.0, 155.5)	(16.0, 260.0)	(17.0, 331.0)	(18.0, 488.5)	(19.0, 986.5)	(20.0, 1512.0)	(21.0, 1697.0)	(22.0, 2317.5)	(23.0, 3465.0)	(24.0, 4915.5)	(25.0, 5839.0)	(26.0, 7154.5)	(27.0, 9779.5)	(28.0, 11709.0)	(29.0, 12329.0)	(30.0, 12941.0)	(31.0, 14737.0)	(32.0, 17734.5)	(33.0, 19548.0)	(34.0, 21475.0)	(35.0, 25882.5)	(36.0, 30431.5)	(37.0, 32500.0)	(38.0, 33015.0)	(39.0, 34492.5)	(40.0, 36586.5)	(41.0, 38528.5)	(42.0, 39339.0)	(43.0, 41020.0)	(44.0, 44314.5)	(45.0, 47672.0)	(46.0, 49416.0)	(47.0, 49995.0)	(48.0, 50616.5)	(49.0, 51204.0)	(50.0, 51749.0)	(51.0, 52031.5)	(52.0, 51726.5)	(53.0, 51604.0)	(54.0, 52069.0)	(55.0, 51525.0)	(56.0, 50462.0)	(57.0, 48723.5)	(58.0, 47504.0)	(59.0, 45096.5)	(60.0, 40570.0)	(61.0, 36785.0)	(62.0, 35119.0)	(63.0, 33221.5)	(64.0, 29003.0)	(65.0, 25709.5)	(66.0, 22726.5)	(67.0, 20716.0)	(68.0, 18990.5)	(69.0, 15951.0)	(70.0, 13309.0)	(71.0, 11981.0)	(72.0, 11044.0)	(73.0, 8737.0)	(74.0, 6492.0)	(75.0, 5617.0)	(76.0, 5145.0)	(77.0, 4197.0)	(78.0, 3315.0)	(79.0, 2909.0)	(80.0, 2754.0)	(81.0, 2160.5)	(82.0, 1533.0)	(83.0, 1344.0)	(84.0, 1258.5)	(85.0, 1315.0)	(86.0, 1126.0)	(87.0, 795.0)	(88.0, 722.5)	(89.0, 603.5)	(90.0, 429.0)	(91.0, 330.0)	(92.0, 359.0)	(93.0, 517.0)	(94.0, 522.0)	(95.0, 229.0)	(96.0, 89.0)	(97.0, 56.5)	(98.0, 15.5)	(99.0, 3.5)	(100.0, 0.0)
KO_3_SRR10045018_2	(0.0, 0.0)	(1.0, 5.5)	(2.0, 9.5)	(3.0, 7.5)	(4.0, 7.0)	(5.0, 9.0)	(6.0, 9.5)	(7.0, 8.5)	(8.0, 9.0)	(9.0, 10.0)	(10.0, 10.5)	(11.0, 16.0)	(12.0, 22.0)	(13.0, 28.5)	(14.0, 59.0)	(15.0, 121.5)	(16.0, 203.0)	(17.0, 246.0)	(18.0, 327.0)	(19.0, 642.5)	(20.0, 1278.0)	(21.0, 1679.0)	(22.0, 2107.0)	(23.0, 3486.5)	(24.0, 5202.0)	(25.0, 5966.0)	(26.0, 6880.5)	(27.0, 8703.0)	(28.0, 10818.5)	(29.0, 12026.0)	(30.0, 12891.5)	(31.0, 15320.5)	(32.0, 18649.5)	(33.0, 20415.0)	(34.0, 21115.0)	(35.0, 23813.0)	(36.0, 27389.0)	(37.0, 28967.0)	(38.0, 30362.5)	(39.0, 32992.5)	(40.0, 34538.5)	(41.0, 35806.0)	(42.0, 36762.0)	(43.0, 38722.0)	(44.0, 42457.0)	(45.0, 44990.5)	(46.0, 45749.0)	(47.0, 45843.5)	(48.0, 47112.0)	(49.0, 49597.0)	(50.0, 50908.0)	(51.0, 50954.0)	(52.0, 50215.5)	(53.0, 49789.5)	(54.0, 50148.0)	(55.0, 50202.0)	(56.0, 48849.5)	(57.0, 45844.0)	(58.0, 44245.0)	(59.0, 42551.0)	(60.0, 39864.5)	(61.0, 38433.0)	(62.0, 37994.0)	(63.0, 36032.5)	(64.0, 31186.5)	(65.0, 26798.5)	(66.0, 24205.0)	(67.0, 23115.0)	(68.0, 21587.0)	(69.0, 18741.0)	(70.0, 16012.0)	(71.0, 14601.0)	(72.0, 13547.0)	(73.0, 11210.5)	(74.0, 9055.5)	(75.0, 8183.0)	(76.0, 7537.0)	(77.0, 6480.0)	(78.0, 5658.5)	(79.0, 5248.0)	(80.0, 5286.5)	(81.0, 4921.0)	(82.0, 3998.5)	(83.0, 3480.0)	(84.0, 3005.0)	(85.0, 2479.5)	(86.0, 2024.5)	(87.0, 1620.0)	(88.0, 1545.5)	(89.0, 1319.0)	(90.0, 904.0)	(91.0, 532.5)	(92.0, 424.0)	(93.0, 571.5)	(94.0, 531.0)	(95.0, 215.0)	(96.0, 87.0)	(97.0, 65.0)	(98.0, 27.0)	(99.0, 7.5)	(100.0, 4.0)
WT_1_SRR10045019_1	(0.0, 9.0)	(1.0, 13.5)	(2.0, 16.0)	(3.0, 11.5)	(4.0, 9.0)	(5.0, 8.5)	(6.0, 10.5)	(7.0, 20.5)	(8.0, 28.0)	(9.0, 32.0)	(10.0, 50.5)	(11.0, 86.5)	(12.0, 108.0)	(13.0, 129.5)	(14.0, 150.5)	(15.0, 176.5)	(16.0, 241.0)	(17.0, 279.0)	(18.0, 432.0)	(19.0, 1022.0)	(20.0, 1680.0)	(21.0, 1901.0)	(22.0, 2389.0)	(23.0, 3411.0)	(24.0, 5031.0)	(25.0, 6117.0)	(26.0, 7755.5)	(27.0, 11228.5)	(28.0, 13134.5)	(29.0, 13206.0)	(30.0, 14013.5)	(31.0, 16202.0)	(32.0, 19621.5)	(33.0, 21660.0)	(34.0, 23289.0)	(35.0, 29254.5)	(36.0, 35542.0)	(37.0, 37493.0)	(38.0, 37483.0)	(39.0, 38697.5)	(40.0, 41929.5)	(41.0, 44075.5)	(42.0, 44214.0)	(43.0, 46584.5)	(44.0, 51214.5)	(45.0, 55425.0)	(46.0, 57376.0)	(47.0, 57264.0)	(48.0, 57411.5)	(49.0, 58775.0)	(50.0, 59879.0)	(51.0, 59282.5)	(52.0, 58288.5)	(53.0, 59234.0)	(54.0, 60577.0)	(55.0, 59209.5)	(56.0, 56763.5)	(57.0, 54360.0)	(58.0, 53035.0)	(59.0, 49878.5)	(60.0, 44380.0)	(61.0, 40148.0)	(62.0, 38258.0)	(63.0, 35957.0)	(64.0, 31034.0)	(65.0, 27261.0)	(66.0, 23547.0)	(67.0, 20984.0)	(68.0, 19572.0)	(69.0, 16694.0)	(70.0, 13675.5)	(71.0, 12123.0)	(72.0, 10981.0)	(73.0, 8536.5)	(74.0, 6247.0)	(75.0, 5260.0)	(76.0, 4926.5)	(77.0, 4155.5)	(78.0, 3519.5)	(79.0, 3321.0)	(80.0, 3021.5)	(81.0, 2243.5)	(82.0, 1520.0)	(83.0, 1275.0)	(84.0, 1239.5)	(85.0, 1510.5)	(86.0, 1253.0)	(87.0, 689.0)	(88.0, 705.5)	(89.0, 634.0)	(90.0, 393.0)	(91.0, 264.5)	(92.0, 289.0)	(93.0, 512.0)	(94.0, 530.0)	(95.0, 176.0)	(96.0, 27.0)	(97.0, 18.0)	(98.0, 6.5)	(99.0, 2.0)	(100.0, 0.0)
WT_1_SRR10045019_2	(0.0, 0.0)	(1.0, 3.0)	(2.0, 7.5)	(3.0, 8.5)	(4.0, 8.0)	(5.0, 7.0)	(6.0, 6.0)	(7.0, 6.0)	(8.0, 6.0)	(9.0, 8.0)	(10.0, 8.5)	(11.0, 13.5)	(12.0, 20.0)	(13.0, 24.5)	(14.0, 59.0)	(15.0, 126.0)	(16.0, 216.0)	(17.0, 269.0)	(18.0, 341.5)	(19.0, 700.5)	(20.0, 1342.0)	(21.0, 1697.0)	(22.0, 2241.0)	(23.0, 3880.0)	(24.0, 5928.5)	(25.0, 6882.0)	(26.0, 7761.5)	(27.0, 9626.5)	(28.0, 12088.5)	(29.0, 13565.0)	(30.0, 14473.5)	(31.0, 17429.5)	(32.0, 21295.5)	(33.0, 23114.0)	(34.0, 23965.0)	(35.0, 26740.5)	(36.0, 30564.5)	(37.0, 32464.0)	(38.0, 33687.0)	(39.0, 36580.5)	(40.0, 38743.0)	(41.0, 40440.5)	(42.0, 41646.0)	(43.0, 43948.0)	(44.0, 48238.0)	(45.0, 50923.0)	(46.0, 51620.0)	(47.0, 51954.5)	(48.0, 53386.0)	(49.0, 55962.0)	(50.0, 57441.0)	(51.0, 57727.0)	(52.0, 57560.5)	(53.0, 56509.0)	(54.0, 55910.0)	(55.0, 56575.0)	(56.0, 55486.5)	(57.0, 51256.0)	(58.0, 48779.0)	(59.0, 46929.0)	(60.0, 44417.5)	(61.0, 43061.0)	(62.0, 42366.0)	(63.0, 40050.5)	(64.0, 34087.5)	(65.0, 28876.0)	(66.0, 25971.0)	(67.0, 24630.0)	(68.0, 23136.5)	(69.0, 20064.0)	(70.0, 17159.0)	(71.0, 15833.0)	(72.0, 14444.0)	(73.0, 11669.5)	(74.0, 9495.5)	(75.0, 8707.0)	(76.0, 7990.0)	(77.0, 6849.5)	(78.0, 5980.5)	(79.0, 5535.0)	(80.0, 5641.5)	(81.0, 5201.0)	(82.0, 4020.5)	(83.0, 3387.0)	(84.0, 2882.0)	(85.0, 2328.0)	(86.0, 1905.5)	(87.0, 1532.0)	(88.0, 1430.0)	(89.0, 1178.0)	(90.0, 840.0)	(91.0, 525.0)	(92.0, 398.0)	(93.0, 576.5)	(94.0, 582.5)	(95.0, 248.0)	(96.0, 86.0)	(97.0, 67.0)	(98.0, 31.5)	(99.0, 9.5)	(100.0, 4.0)
WT_2_SRR10045020_1	(0.0, 8.0)	(1.0, 10.5)	(2.0, 17.5)	(3.0, 21.5)	(4.0, 21.0)	(5.0, 19.0)	(6.0, 13.5)	(7.0, 12.5)	(8.0, 15.0)	(9.0, 22.5)	(10.0, 42.5)	(11.0, 70.0)	(12.0, 85.0)	(13.0, 106.5)	(14.0, 140.5)	(15.0, 199.5)	(16.0, 287.5)	(17.0, 329.0)	(18.0, 480.5)	(19.0, 1051.5)	(20.0, 1743.5)	(21.0, 2016.0)	(22.0, 2619.0)	(23.0, 3868.0)	(24.0, 5611.0)	(25.0, 6708.0)	(26.0, 8542.5)	(27.0, 12408.0)	(28.0, 14783.0)	(29.0, 15127.0)	(30.0, 15656.0)	(31.0, 17740.0)	(32.0, 21284.5)	(33.0, 23274.0)	(34.0, 25319.0)	(35.0, 31401.5)	(36.0, 37715.0)	(37.0, 39991.0)	(38.0, 39959.0)	(39.0, 41061.0)	(40.0, 44403.0)	(41.0, 46659.5)	(42.0, 46708.0)	(43.0, 48993.0)	(44.0, 53714.0)	(45.0, 58107.5)	(46.0, 60065.0)	(47.0, 59977.5)	(48.0, 60000.5)	(49.0, 60861.0)	(50.0, 61611.0)	(51.0, 61368.5)	(52.0, 60719.0)	(53.0, 61462.0)	(54.0, 62612.0)	(55.0, 61250.0)	(56.0, 59015.0)	(57.0, 57044.0)	(58.0, 55946.0)	(59.0, 52305.5)	(60.0, 46368.5)	(61.0, 42094.5)	(62.0, 40117.0)	(63.0, 37942.0)	(64.0, 33158.0)	(65.0, 29079.5)	(66.0, 25021.0)	(67.0, 22432.0)	(68.0, 20738.0)	(69.0, 17588.0)	(70.0, 14613.0)	(71.0, 13094.0)	(72.0, 11968.0)	(73.0, 9300.0)	(74.0, 6840.0)	(75.0, 5922.0)	(76.0, 5343.0)	(77.0, 4319.0)	(78.0, 3688.5)	(79.0, 3503.0)	(80.0, 3159.5)	(81.0, 2372.5)	(82.0, 1611.5)	(83.0, 1294.0)	(84.0, 1282.0)	(85.0, 1509.5)	(86.0, 1262.5)	(87.0, 776.0)	(88.0, 760.0)	(89.0, 650.5)	(90.0, 396.0)	(91.0, 213.0)	(92.0, 191.0)	(93.0, 374.0)	(94.0, 356.0)	(95.0, 83.0)	(96.0, 11.0)	(97.0, 8.5)	(98.0, 6.5)	(99.0, 3.5)	(100.0, 0.0)
WT_2_SRR10045020_2	(0.0, 0.0)	(1.0, 6.5)	(2.0, 10.0)	(3.0, 8.5)	(4.0, 10.0)	(5.0, 13.0)	(6.0, 13.5)	(7.0, 9.0)	(8.0, 7.0)	(9.0, 9.5)	(10.0, 13.5)	(11.0, 19.0)	(12.0, 23.0)	(13.0, 30.0)	(14.0, 67.0)	(15.0, 153.0)	(16.0, 233.5)	(17.0, 258.0)	(18.0, 401.0)	(19.0, 824.0)	(20.0, 1640.0)	(21.0, 2176.0)	(22.0, 2725.0)	(23.0, 4495.0)	(24.0, 6986.0)	(25.0, 8256.0)	(26.0, 8950.5)	(27.0, 11027.5)	(28.0, 13662.5)	(29.0, 14915.0)	(30.0, 16301.0)	(31.0, 19717.5)	(32.0, 23474.5)	(33.0, 25201.0)	(34.0, 26370.5)	(35.0, 29459.5)	(36.0, 33625.5)	(37.0, 35872.0)	(38.0, 37214.0)	(39.0, 40053.5)	(40.0, 41923.5)	(41.0, 43144.0)	(42.0, 43992.0)	(43.0, 45970.5)	(44.0, 50706.0)	(45.0, 54114.5)	(46.0, 54766.0)	(47.0, 54629.0)	(48.0, 55711.0)	(49.0, 58489.0)	(50.0, 60048.0)	(51.0, 60128.0)	(52.0, 59269.0)	(53.0, 58042.0)	(54.0, 57754.0)	(55.0, 58424.5)	(56.0, 57599.0)	(57.0, 53511.0)	(58.0, 50919.0)	(59.0, 48885.0)	(60.0, 45840.0)	(61.0, 44016.0)	(62.0, 43203.0)	(63.0, 41212.0)	(64.0, 35449.5)	(65.0, 30305.5)	(66.0, 27474.0)	(67.0, 26015.0)	(68.0, 24275.5)	(69.0, 20776.5)	(70.0, 17690.5)	(71.0, 16364.0)	(72.0, 14818.5)	(73.0, 11978.0)	(74.0, 9813.5)	(75.0, 8944.0)	(76.0, 8235.5)	(77.0, 7152.5)	(78.0, 6177.5)	(79.0, 5577.0)	(80.0, 5678.0)	(81.0, 5202.5)	(82.0, 4098.5)	(83.0, 3571.0)	(84.0, 3060.0)	(85.0, 2356.5)	(86.0, 1827.0)	(87.0, 1490.0)	(88.0, 1348.5)	(89.0, 1031.5)	(90.0, 690.0)	(91.0, 432.5)	(92.0, 341.0)	(93.0, 499.0)	(94.0, 467.0)	(95.0, 167.0)	(96.0, 57.0)	(97.0, 41.5)	(98.0, 19.0)	(99.0, 6.5)	(100.0, 1.0)
