Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
KO_1_SRR10045016_1	(2.0, 2.0)	(3.0, 5.0)	(4.0, 11.0)	(5.0, 6.0)	(6.0, 10.0)	(7.0, 5.0)	(8.0, 14.0)	(9.0, 25.0)	(10.0, 32.0)	(11.0, 40.0)	(12.0, 52.0)	(13.0, 84.0)	(14.0, 135.0)	(15.0, 163.0)	(16.0, 190.0)	(17.0, 214.0)	(18.0, 260.0)	(19.0, 375.0)	(20.0, 451.0)	(21.0, 587.0)	(22.0, 868.0)	(23.0, 1321.0)	(24.0, 2011.0)	(25.0, 2965.0)	(26.0, 4260.0)	(27.0, 6102.0)	(28.0, 8329.0)	(29.0, 11221.0)	(30.0, 14630.0)	(31.0, 19551.0)	(32.0, 25799.0)	(33.0, 36587.0)	(34.0, 55777.0)	(35.0, 101697.0)	(36.0, 268051.0)	(37.0, 677858.0)
KO_1_SRR10045016_2	(2.0, 369.0)	(3.0, 195.0)	(4.0, 215.0)	(5.0, 233.0)	(6.0, 227.0)	(7.0, 290.0)	(8.0, 290.0)	(9.0, 298.0)	(10.0, 371.0)	(11.0, 404.0)	(12.0, 488.0)	(13.0, 598.0)	(14.0, 697.0)	(15.0, 939.0)	(16.0, 1018.0)	(17.0, 1330.0)	(18.0, 1738.0)	(19.0, 2228.0)	(20.0, 2948.0)	(21.0, 3811.0)	(22.0, 4825.0)	(23.0, 6036.0)	(24.0, 7282.0)	(25.0, 8853.0)	(26.0, 10460.0)	(27.0, 12145.0)	(28.0, 14377.0)	(29.0, 16590.0)	(30.0, 20015.0)	(31.0, 24121.0)	(32.0, 30404.0)	(33.0, 39989.0)	(34.0, 55733.0)	(35.0, 90111.0)	(36.0, 205630.0)	(37.0, 674430.0)
KO_2_SRR10045017_1	(2.0, 4.0)	(3.0, 13.0)	(4.0, 11.0)	(5.0, 17.0)	(6.0, 24.0)	(7.0, 16.0)	(8.0, 21.0)	(9.0, 51.0)	(10.0, 55.0)	(11.0, 85.0)	(12.0, 120.0)	(13.0, 153.0)	(14.0, 216.0)	(15.0, 259.0)	(16.0, 329.0)	(17.0, 437.0)	(18.0, 543.0)	(19.0, 734.0)	(20.0, 939.0)	(21.0, 1288.0)	(22.0, 1814.0)	(23.0, 2386.0)	(24.0, 3284.0)	(25.0, 4705.0)	(26.0, 6449.0)	(27.0, 8677.0)	(28.0, 11476.0)	(29.0, 14952.0)	(30.0, 19230.0)	(31.0, 25864.0)	(32.0, 34646.0)	(33.0, 49896.0)	(34.0, 76839.0)	(35.0, 141164.0)	(36.0, 339235.0)	(37.0, 522657.0)
KO_2_SRR10045017_2	(2.0, 383.0)	(3.0, 143.0)	(4.0, 234.0)	(5.0, 244.0)	(6.0, 250.0)	(7.0, 288.0)	(8.0, 288.0)	(9.0, 337.0)	(10.0, 393.0)	(11.0, 467.0)	(12.0, 537.0)	(13.0, 614.0)	(14.0, 766.0)	(15.0, 939.0)	(16.0, 1182.0)	(17.0, 1498.0)	(18.0, 1824.0)	(19.0, 2486.0)	(20.0, 3005.0)	(21.0, 3810.0)	(22.0, 4762.0)	(23.0, 5858.0)	(24.0, 7099.0)	(25.0, 8337.0)	(26.0, 9862.0)	(27.0, 11670.0)	(28.0, 13465.0)	(29.0, 16365.0)	(30.0, 19546.0)	(31.0, 24209.0)	(32.0, 30421.0)	(33.0, 40265.0)	(34.0, 56665.0)	(35.0, 93157.0)	(36.0, 219932.0)	(37.0, 687288.0)
KO_3_SRR10045018_1	(2.0, 1.0)	(3.0, 4.0)	(4.0, 13.0)	(5.0, 8.0)	(6.0, 14.0)	(7.0, 11.0)	(8.0, 41.0)	(9.0, 63.0)	(10.0, 119.0)	(11.0, 181.0)	(12.0, 295.0)	(13.0, 480.0)	(14.0, 793.0)	(15.0, 1141.0)	(16.0, 1583.0)	(17.0, 2283.0)	(18.0, 3081.0)	(19.0, 4145.0)	(20.0, 5289.0)	(21.0, 6857.0)	(22.0, 8959.0)	(23.0, 11631.0)	(24.0, 14387.0)	(25.0, 18025.0)	(26.0, 22575.0)	(27.0, 27416.0)	(28.0, 33927.0)	(29.0, 41433.0)	(30.0, 51544.0)	(31.0, 64867.0)	(32.0, 81954.0)	(33.0, 104487.0)	(34.0, 138752.0)	(35.0, 191839.0)	(36.0, 258483.0)	(37.0, 137051.0)
KO_3_SRR10045018_2	(2.0, 401.0)	(3.0, 173.0)	(4.0, 250.0)	(5.0, 292.0)	(6.0, 320.0)	(7.0, 381.0)	(8.0, 498.0)	(9.0, 649.0)	(10.0, 812.0)	(11.0, 1052.0)	(12.0, 1331.0)	(13.0, 1654.0)	(14.0, 2094.0)	(15.0, 2463.0)	(16.0, 2943.0)	(17.0, 3513.0)	(18.0, 3996.0)	(19.0, 4767.0)	(20.0, 5468.0)	(21.0, 6460.0)	(22.0, 7523.0)	(23.0, 8981.0)	(24.0, 10835.0)	(25.0, 12709.0)	(26.0, 15521.0)	(27.0, 18506.0)	(28.0, 22600.0)	(29.0, 27273.0)	(30.0, 34072.0)	(31.0, 43081.0)	(32.0, 55526.0)	(33.0, 73729.0)	(34.0, 99860.0)	(35.0, 147439.0)	(36.0, 278146.0)	(37.0, 338414.0)
WT_1_SRR10045019_1	(2.0, 1.0)	(3.0, 2.0)	(4.0, 6.0)	(5.0, 8.0)	(6.0, 7.0)	(7.0, 6.0)	(8.0, 11.0)	(9.0, 27.0)	(10.0, 17.0)	(11.0, 49.0)	(12.0, 68.0)	(13.0, 91.0)	(14.0, 112.0)	(15.0, 138.0)	(16.0, 217.0)	(17.0, 219.0)	(18.0, 294.0)	(19.0, 362.0)	(20.0, 416.0)	(21.0, 613.0)	(22.0, 825.0)	(23.0, 1275.0)	(24.0, 1987.0)	(25.0, 2950.0)	(26.0, 4476.0)	(27.0, 6401.0)	(28.0, 8526.0)	(29.0, 11395.0)	(30.0, 14878.0)	(31.0, 19498.0)	(32.0, 26222.0)	(33.0, 36527.0)	(34.0, 55793.0)	(35.0, 99969.0)	(36.0, 268908.0)	(37.0, 813204.0)
WT_1_SRR10045019_2	(2.0, 458.0)	(3.0, 247.0)	(4.0, 289.0)	(5.0, 270.0)	(6.0, 278.0)	(7.0, 335.0)	(8.0, 344.0)	(9.0, 414.0)	(10.0, 463.0)	(11.0, 553.0)	(12.0, 605.0)	(13.0, 652.0)	(14.0, 843.0)	(15.0, 1027.0)	(16.0, 1323.0)	(17.0, 1660.0)	(18.0, 2066.0)	(19.0, 2576.0)	(20.0, 3516.0)	(21.0, 4611.0)	(22.0, 5855.0)	(23.0, 7394.0)	(24.0, 8708.0)	(25.0, 10433.0)	(26.0, 12135.0)	(27.0, 14166.0)	(28.0, 16623.0)	(29.0, 19376.0)	(30.0, 23062.0)	(31.0, 27756.0)	(32.0, 34595.0)	(33.0, 44726.0)	(34.0, 61903.0)	(35.0, 99321.0)	(36.0, 227769.0)	(37.0, 739146.0)
WT_2_SRR10045020_1	(2.0, 3.0)	(3.0, 11.0)	(4.0, 14.0)	(5.0, 19.0)	(6.0, 18.0)	(7.0, 16.0)	(8.0, 19.0)	(9.0, 29.0)	(10.0, 46.0)	(11.0, 80.0)	(12.0, 99.0)	(13.0, 127.0)	(14.0, 185.0)	(15.0, 235.0)	(16.0, 316.0)	(17.0, 389.0)	(18.0, 541.0)	(19.0, 655.0)	(20.0, 943.0)	(21.0, 1262.0)	(22.0, 1658.0)	(23.0, 2360.0)	(24.0, 3294.0)	(25.0, 4501.0)	(26.0, 6207.0)	(27.0, 8590.0)	(28.0, 11422.0)	(29.0, 14689.0)	(30.0, 19123.0)	(31.0, 25127.0)	(32.0, 33713.0)	(33.0, 47590.0)	(34.0, 73828.0)	(35.0, 134646.0)	(36.0, 346148.0)	(37.0, 712297.0)
WT_2_SRR10045020_2	(2.0, 427.0)	(3.0, 216.0)	(4.0, 233.0)	(5.0, 254.0)	(6.0, 259.0)	(7.0, 296.0)	(8.0, 338.0)	(9.0, 353.0)	(10.0, 457.0)	(11.0, 528.0)	(12.0, 580.0)	(13.0, 743.0)	(14.0, 901.0)	(15.0, 1176.0)	(16.0, 1413.0)	(17.0, 1791.0)	(18.0, 2194.0)	(19.0, 2832.0)	(20.0, 3598.0)	(21.0, 4506.0)	(22.0, 5604.0)	(23.0, 7004.0)	(24.0, 8614.0)	(25.0, 9776.0)	(26.0, 11627.0)	(27.0, 13517.0)	(28.0, 16054.0)	(29.0, 18751.0)	(30.0, 22240.0)	(31.0, 27289.0)	(32.0, 33738.0)	(33.0, 43937.0)	(34.0, 62494.0)	(35.0, 101009.0)	(36.0, 240205.0)	(37.0, 805246.0)
