Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
KO_1_SRR10045016_1	(1.0, 24.245292951511566)	(2.0, 10.03473419084992)	(3.0, 6.734317149123218)	(4.0, 5.087044332592292)	(5.0, 4.124492197553101)	(6.0, 3.397981937474352)	(7.0, 2.827172182206295)	(8.0, 2.499459780154486)	(9.0, 2.1132518082369156)	('>10', 26.291930523556452)	('>50', 6.2172258095696)	('>100', 5.843483732378947)	('>500', 0.49372111036519883)	('>1k', 0.08989229442768956)	('>5k', 0.0)	('>10k+', 0.0)
KO_1_SRR10045016_2	(1.0, 24.091257475591032)	(2.0, 11.065705496341472)	(3.0, 7.650878084667055)	(4.0, 5.919170723396064)	(5.0, 4.664757056747512)	(6.0, 3.770354392306891)	(7.0, 3.160814902514433)	(8.0, 2.718225325663527)	(9.0, 2.3818648779069505)	('>10', 25.892217369271602)	('>50', 4.956865321650696)	('>100', 3.522088269047069)	('>500', 0.04364491624798352)	('>1k', 0.1621557886477761)	('>5k', 0.0)	('>10k+', 0.0)
KO_2_SRR10045017_1	(1.0, 24.88200104143693)	(2.0, 10.213075077580063)	(3.0, 6.816391884082537)	(4.0, 5.144524152985111)	(5.0, 4.072533906570007)	(6.0, 3.436777945219538)	(7.0, 2.927958813644497)	(8.0, 2.4977885264108974)	(9.0, 2.2106164364076037)	('>10', 25.930659555193085)	('>50', 6.1039848230543825)	('>100', 5.425259488338911)	('>500', 0.33842834907641595)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
KO_2_SRR10045017_2	(1.0, 23.97619908178662)	(2.0, 11.304735017151128)	(3.0, 7.9273068412404255)	(4.0, 5.901104143856366)	(5.0, 4.770072900539582)	(6.0, 3.9408106156090925)	(7.0, 3.2157152308610977)	(8.0, 2.761911233111075)	(9.0, 2.446585586081639)	('>10', 25.4589788183753)	('>50', 4.778062840758338)	('>100', 3.326124669431272)	('>500', 0.045965820335494144)	('>1k', 0.1464272008625535)	('>5k', 0.0)	('>10k+', 0.0)
KO_3_SRR10045018_1	(1.0, 27.26160660646576)	(2.0, 10.509484239119441)	(3.0, 6.983705385043589)	(4.0, 5.198498384564816)	(5.0, 4.102083508667429)	(6.0, 3.4107994624677285)	(7.0, 2.8327483273290777)	(8.0, 2.438323812397495)	(9.0, 2.0843961703919214)	('>10', 24.296143100551845)	('>50', 5.731909100415698)	('>100', 4.894358958575997)	('>500', 0.2559429440091502)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
KO_3_SRR10045018_2	(1.0, 25.679663506317212)	(2.0, 11.736920734623531)	(3.0, 8.08759537307842)	(4.0, 6.147177058604596)	(5.0, 4.76925476961133)	(6.0, 3.884639527852054)	(7.0, 3.2589563206009537)	(8.0, 2.712632718241941)	(9.0, 2.3367210399304787)	('>10', 24.10346300843786)	('>50', 4.3474610168987455)	('>100', 2.758973925756696)	('>500', 0.04656565017414772)	('>1k', 0.1299753498720509)	('>5k', 0.0)	('>10k+', 0.0)
WT_1_SRR10045019_1	(1.0, 23.11131653567774)	(2.0, 9.437317725640117)	(3.0, 6.3635023545387375)	(4.0, 5.002981413916984)	(5.0, 3.998165065161092)	(6.0, 3.2491265450520794)	(7.0, 2.9472951047097533)	(8.0, 2.5527690121172486)	(9.0, 2.121918976040158)	('>10', 26.969328046773235)	('>50', 6.856924222499715)	('>100', 6.88261807174179)	('>500', 0.43345093595190054)	('>1k', 0.07328599017943058)	('>5k', 0.0)	('>10k+', 0.0)
WT_1_SRR10045019_2	(1.0, 23.03871100096214)	(2.0, 10.643941239814419)	(3.0, 7.4161677265303565)	(4.0, 5.9376537296636975)	(5.0, 4.684439688068476)	(6.0, 3.8151598155617554)	(7.0, 3.208316174506006)	(8.0, 2.786383390431095)	(9.0, 2.447753336958662)	('>10', 26.67516704252296)	('>50', 5.422784658259667)	('>100', 3.637723905712907)	('>500', 0.1307088695314577)	('>1k', 0.15508942147635654)	('>5k', 0.0)	('>10k+', 0.0)
WT_2_SRR10045020_1	(1.0, 24.254492479217273)	(2.0, 9.655311247834634)	(3.0, 6.478830992514578)	(4.0, 5.037476383233355)	(5.0, 3.9818660495251708)	(6.0, 3.3294151325157046)	(7.0, 2.8291013925224107)	(8.0, 2.4521088266394897)	(9.0, 2.159532873747897)	('>10', 26.40060295396955)	('>50', 6.473643444653293)	('>100', 6.411925636815561)	('>500', 0.4542474858989099)	('>1k', 0.08144510091215677)	('>5k', 0.0)	('>10k+', 0.0)
WT_2_SRR10045020_2	(1.0, 24.198419339792768)	(2.0, 10.624269416741225)	(3.0, 7.615835384634592)	(4.0, 5.825353284404347)	(5.0, 4.676648163896246)	(6.0, 3.8174712951464844)	(7.0, 3.1326808206915144)	(8.0, 2.718308306832312)	(9.0, 2.4851495361028104)	('>10', 26.108172073505198)	('>50', 5.055335310436842)	('>100', 3.5440837534164222)	('>500', 0.07174817222520204)	('>1k', 0.12652514217405822)	('>5k', 0.0)	('>10k+', 0.0)
