Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
KO_1_SRR10045016_1	63.312934926112725	50.0	76.0	76	20.0	1.239688
KO_1_SRR10045016_2	62.16757415760757	51.0	76.0	76	20.0	1.239688
KO_2_SRR10045017_1	62.54246502930346	50.0	76.0	76	30.0	1.268589
KO_2_SRR10045017_2	62.030210339016136	51.0	76.0	76	20.0	1.268589
KO_3_SRR10045018_1	60.061929674520314	50.0	76.0	76	30.0	1.233732
KO_3_SRR10045018_2	60.08810120835557	51.0	76.0	76	20.0	1.233732
WT_1_SRR10045019_1	64.86785256046682	50.0	76.0	76	20.0	1.3754979999999999
WT_1_SRR10045019_2	63.43785150746249	51.0	76.0	76	20.0	1.3754979999999999
WT_2_SRR10045020_1	63.62472572837767	50.0	76.0	76	20.0	1.4502
WT_2_SRR10045020_2	62.29379530775902	51.0	76.0	76	20.0	1.4502
WT_3_SRR10045021_1	62.960654214561345	50.0	76.0	76	30.0	1.2942829999999999
WT_3_SRR10045021_2	60.88008606271232	51.0	76.0	76	20.0	1.2942829999999999
