Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42
KO_1_1	(1, 0.20002704637790097)	(2, 0.0007466791445048148)	(3, 0.0)	(4, 0.0004977860963365432)	(5, 0.0517697540190005)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0004977860963365432)	(10, 0.0001244465240841358)	(12, 0.0)	(14, 0.0)	(16, 0.0002488930481682716)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.00041482174694711934)	(26, 0.0)	(28, 0.00029037522286298354)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 0.00016604758591717213)	(72, 0.00012456206055543053)	(74, 0.0018690921113513703)	(76, 0.12440157193061767)
KO_1_2	(1, 0.015016547239485721)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0007466791445048148)	(7, 0.02887159358751951)	(8, 0.25337312303530046)	(9, 0.0687774456438324)	(10, 0.07450198575170264)	(12, 0.010909811944709238)	(14, 0.0023644839575985804)	(16, 0.0)	(18, 0.0)	(20, 8.296434938942387e-05)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0019081800359567489)	(30, 0.00016592869877884775)	(32, 0.0012029830661466462)	(34, 0.00041482174694711934)	(36, 0.0)	(38, 0.0)	(40, 0.00012445173823816993)	(42, 0.0)	(44, 0.003277403135105758)	(46, 0.004646512419049041)	(48, 0.00020743660218845613)	(50, 0.0004148806056593034)	(52, 0.0002489318748138197)	(54, 0.0006638321035843614)	(56, 0.0036096649401127544)	(58, 0.013235773099847104)	(60, 0.0)	(62, 0.0)	(64, 0.0060171018483706935)	(66, 4.1501060144581394e-05)	(68, 0.0013696952843051597)	(70, 0.0)	(72, 0.0006643309896289628)	(74, 0.0)	(76, 0.0)
KO_2_1	(1, 0.038845587165678055)	(2, 0.0)	(3, 0.00121900378134973)	(4, 0.016497184507599676)	(5, 0.060056252961163355)	(6, 0.0)	(7, 0.0)	(8, 8.126691875664866e-05)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0002031672968916216)	(18, 0.0)	(20, 0.0)	(22, 0.0014221710782413514)	(24, 0.0003657011344049189)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.00012201133241255447)	(74, 0.0)	(76, 0.18866051037632808)
KO_2_2	(1, 0.02112939887672865)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.011621169382200756)	(7, 0.015196913807493297)	(8, 0.3801666459436024)	(9, 0.05899978301732692)	(10, 0.0633069297114293)	(12, 0.04124296126899919)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 4.063345937832433e-05)	(22, 0.0)	(24, 0.0020316729689162163)	(26, 4.063345937832433e-05)	(28, 0.0)	(30, 0.0032100432908876214)	(32, 0.0029256090752393512)	(34, 0.0005282349719182162)	(36, 0.0)	(38, 4.063748840815643e-05)	(40, 0.0)	(42, 0.0)	(44, 4.064500369259858e-05)	(46, 0.008576378134544269)	(48, 0.001056824218834152)	(50, 0.0)	(52, 0.0005690767745541386)	(54, 0.0)	(56, 0.0023983613094727546)	(58, 0.0030082058978722227)	(60, 0.0)	(62, 0.0)	(64, 0.0017076051447703577)	(66, 8.132266434192277e-05)	(68, 0.00040673984187581904)	(70, 0.0)	(72, 4.073037712256178e-05)	(74, 0.0)	(76, 0.0)
KO_3_1	(1, 0.043417069528353065)	(2, 0.005330412496550277)	(3, 0.0)	(4, 0.006534054028029372)	(5, 0.07729098119997903)	(6, 0.0)	(7, 0.0)	(8, 0.0010316927412677957)	(9, 0.0018054622972186424)	(10, 0.0)	(12, 0.0)	(14, 0.0005158463706338978)	(16, 0.0)	(18, 0.0)	(20, 8.597439510564963e-05)	(22, 0.0)	(24, 0.0)	(26, 8.597439510564963e-05)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 8.600023650065038e-05)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 0.00012906029051471394)	(72, 0.004432017583491896)	(74, 0.00047345855881797194)	(76, 0.19012781962656417)
KO_3_2	(1, 0.19000341318348568)	(2, 0.000945718346162146)	(3, 0.0)	(4, 0.0)	(5, 0.0012896159265847445)	(6, 0.0119504409196853)	(7, 0.017194879021129927)	(8, 0.3978895005489465)	(9, 0.08657621587138918)	(10, 0.07862358432411659)	(12, 0.06456677072434289)	(14, 0.0003438975804225985)	(16, 0.0)	(18, 0.0)	(20, 0.0021923470751940657)	(22, 0.0)	(24, 0.0)	(26, 0.000988705543714971)	(28, 0.0)	(30, 0.0022783214702997152)	(32, 0.0005158463706338978)	(34, 0.0010746799388206205)	(36, 0.0)	(38, 0.00034390925954186987)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0003009731321284949)	(54, 0.0)	(56, 0.0017629464769449601)	(58, 8.600023650065038e-05)	(60, 0.0)	(62, 0.0)	(64, 0.003741512250442208)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 4.302929692710579e-05)	(74, 0.0)	(76, 0.0)
WT_1_1	(1, 0.19920288877901138)	(2, 0.0004494988088281566)	(3, 0.0)	(4, 0.0008240811495182871)	(5, 0.051317780674547876)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.000674248213242235)	(10, 7.49164681380261e-05)	(12, 0.0)	(14, 0.0)	(16, 0.0001498329362760522)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0001498329362760522)	(26, 0.0)	(28, 0.00041204057475914356)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.00014995769318580996)	(74, 0.002624978015809118)	(76, 0.12603595175523818)
WT_1_2	(1, 0.013784630137396803)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0016481622990365743)	(7, 0.02876792376500202)	(8, 0.25074541885797336)	(9, 0.06839873541001783)	(10, 0.07727633688437392)	(12, 0.010338472603047601)	(14, 0.0024347852144858484)	(16, 0.0)	(18, 0.0)	(20, 0.00018729117034506525)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.001498329362760522)	(30, 0.0003371241066211175)	(32, 0.0011986634902084177)	(34, 0.0006367899791732219)	(36, 0.0)	(38, 0.0)	(40, 3.745958111198017e-05)	(42, 0.0)	(44, 0.003970874757486317)	(46, 0.004270629011207029)	(48, 0.00029969685662951923)	(50, 0.0004870148723103199)	(52, 3.7463145630486007e-05)	(54, 0.0006368827809748877)	(56, 0.003184464011622919)	(58, 0.012775621865570488)	(60, 0.0)	(62, 0.0)	(64, 0.005957711489390402)	(66, 0.00011241756981693174)	(68, 0.001386615859062865)	(70, 0.0)	(72, 0.00041238365626097736)	(74, 0.0)	(76, 0.0)
WT_2_1	(1, 0.04416556548610169)	(2, 0.0)	(3, 0.002059166236490272)	(4, 0.01675735282109325)	(5, 0.062201021488464764)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.00017751433073192)	(18, 0.0)	(20, 0.0)	(22, 0.001633131842733664)	(24, 0.00035502866146384)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 3.552614937751081e-05)	(72, 7.106729575436868e-05)	(74, 0.0)	(76, 0.18837266356386287)
WT_2_2	(1, 0.023076862995149598)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.011502928631428416)	(7, 0.014556175120017438)	(8, 0.380732736553822)	(9, 0.0634791246697346)	(10, 0.06951461191461987)	(12, 0.042745450840246335)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 7.1005732292768e-05)	(22, 0.0)	(24, 0.00213017196878304)	(26, 3.5502866146384e-05)	(28, 0.0)	(30, 0.003443778016199248)	(32, 0.0024852006302468798)	(34, 0.000426034393756608)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.008450531193999695)	(48, 0.0007456467544659802)	(50, 0.0)	(52, 0.000284063471141992)	(54, 0.0)	(56, 0.0022370697369205987)	(58, 0.003160369955037523)	(60, 0.0)	(62, 0.0)	(64, 0.0013495358129514952)	(66, 0.00010655221538038607)	(68, 0.0004262494347754891)	(70, 0.0)	(72, 3.553364787718434e-05)	(74, 0.0)	(76, 0.0)
