Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42
KO_1_1	(1, 33.149442852911676)	(2, 33.30484918325746)	(3, 33.320380939106656)	(4, 33.31146724940826)	(5, 33.30993074965757)	(6, 36.866749299158656)	(7, 37.262757220594736)	(8, 37.39981266649908)	(9, 37.45291814654325)	(10, 37.44507967481294)	(12, 37.43670359409858)	(14, 37.420620954969436)	(16, 37.41287664777568)	(18, 37.40950331732951)	(20, 37.410843191572155)	(22, 37.336185647665346)	(24, 37.37400204258228)	(26, 37.35546863657218)	(28, 37.30664867999572)	(30, 37.307369640191915)	(32, 37.305668456207684)	(34, 37.30861244614577)	(36, 37.24109374497746)	(38, 37.066264755536764)	(40, 36.88586968782882)	(42, 36.759480555282714)	(44, 36.709366901868705)	(46, 36.606488287984355)	(48, 36.53259341909353)	(50, 36.47592979241128)	(52, 36.38149549142164)	(54, 36.18024979655128)	(56, 36.21812243587005)	(58, 36.22532185634041)	(60, 36.18081919037281)	(62, 36.17420216993261)	(64, 36.000213010579245)	(66, 35.9034114644364)	(68, 35.784346760727196)	(70, 35.688636978458504)	(72, 35.49631141823453)	(74, 34.794040080090944)	(76, 28.993681862716176)
KO_1_2	(1, 32.70304736351742)	(2, 32.798226554067455)	(3, 32.79151390855835)	(4, 32.764304090889105)	(5, 32.75401153370385)	(6, 36.90992809479838)	(7, 36.97788502302676)	(8, 36.84541999457413)	(9, 36.87728079367015)	(10, 36.84492054919081)	(12, 36.870982969908)	(14, 36.85874614319481)	(16, 36.866085584363546)	(18, 36.87779641710161)	(20, 36.87449194706543)	(22, 36.85852089498621)	(24, 36.83124843923318)	(26, 36.81369193843713)	(28, 36.798685761741325)	(30, 36.77878676254027)	(32, 36.75179804486214)	(34, 36.71436494523938)	(36, 36.70175947984066)	(38, 36.65007484316064)	(40, 36.59913006842827)	(42, 36.54579612498042)	(44, 36.48083153069564)	(46, 36.45232715015354)	(48, 36.41722799261326)	(50, 36.342818218394854)	(52, 36.301037066163396)	(54, 36.318907085633754)	(56, 36.24026782379795)	(58, 36.132932157459216)	(60, 36.04590498499214)	(62, 35.92729645725552)	(64, 35.711880769910195)	(66, 35.507899793417636)	(68, 35.4168330700459)	(70, 35.18259979738819)	(72, 34.73237827398995)	(74, 34.069418838551734)	(76, 26.92604879167598)
KO_2_1	(1, 33.156177139128154)	(2, 33.236442849445716)	(3, 33.26818652058125)	(4, 33.25339512869836)	(5, 33.23182851379872)	(6, 36.780226620929646)	(7, 37.17736748819395)	(8, 37.34282043342898)	(9, 37.401658495277985)	(10, 37.3688006546863)	(12, 37.36935326973384)	(14, 37.35548710172099)	(16, 37.34395248160726)	(18, 37.3363357396468)	(20, 37.320903151774914)	(22, 37.317715863221274)	(24, 37.29933247352933)	(26, 37.25178807537994)	(28, 37.23058553627634)	(30, 37.18666076668836)	(32, 37.171551214818535)	(34, 37.13438175785221)	(36, 37.06068004579338)	(38, 36.86349526171168)	(40, 36.6488090794513)	(42, 36.47470447862339)	(44, 36.38743982641614)	(46, 36.28162016048756)	(48, 36.2381830828319)	(50, 36.09504647262861)	(52, 36.00797137009424)	(54, 35.83858496864456)	(56, 35.77961282493726)	(58, 35.651231439066564)	(60, 35.56568504607171)	(62, 35.43720992551171)	(64, 35.21080016669873)	(66, 35.07546251766723)	(68, 34.859044227007765)	(70, 34.547804854335205)	(72, 34.13727654841969)	(74, 33.210475978572944)	(76, 23.742561420472025)
KO_2_2	(1, 32.76963835408484)	(2, 32.86262558786457)	(3, 32.877491745312724)	(4, 32.85454684347098)	(5, 32.83346457940713)	(6, 37.03334950545017)	(7, 37.086741871073286)	(8, 36.911496262128075)	(9, 36.97952317448089)	(10, 36.973843835863576)	(12, 36.98170437858032)	(14, 36.98964821988878)	(16, 37.006434308292555)	(18, 37.001970722779845)	(20, 36.99005983683228)	(22, 36.970351796364604)	(24, 36.94515905155004)	(26, 36.92712714128173)	(28, 36.915228445371966)	(30, 36.883005705750364)	(32, 36.8447862801937)	(34, 36.82193280363556)	(36, 36.7669838901122)	(38, 36.76137292867055)	(40, 36.70869803388526)	(42, 36.6511148871443)	(44, 36.60191120043019)	(46, 36.523554843977486)	(48, 36.49686503325331)	(50, 36.40713071606217)	(52, 36.342863338648726)	(54, 36.244912439706695)	(56, 36.16716646379157)	(58, 36.05036998964578)	(60, 35.96110487447838)	(62, 35.86704639989546)	(64, 35.672547685131)	(66, 35.49979647810124)	(68, 35.30143898195625)	(70, 35.057094127709874)	(72, 34.67543302906912)	(74, 33.90840406630505)	(76, 26.145141267943266)
KO_3_1	(1, 33.32768109001777)	(2, 33.411802736908896)	(3, 33.484675493944394)	(4, 33.48909113887702)	(5, 33.46513437368083)	(6, 37.090322120266144)	(7, 37.46227142632381)	(8, 37.591273426947986)	(9, 37.63848110755655)	(10, 37.626822979580226)	(12, 37.60967581634837)	(14, 37.593186787111065)	(16, 37.57360654849772)	(18, 37.55062301345413)	(20, 37.523338179423405)	(22, 37.49235472691523)	(24, 37.4338444224541)	(26, 37.36846519369601)	(28, 37.27554836618558)	(30, 37.193032720995035)	(32, 37.0471982234251)	(34, 36.929165695872456)	(36, 36.76145691863155)	(38, 36.354072624921855)	(40, 35.90430937843802)	(42, 35.42015006426344)	(44, 35.12606885256349)	(46, 34.905978503200025)	(48, 34.353896507064476)	(50, 33.858833503111114)	(52, 33.58112899135831)	(54, 33.04374212885095)	(56, 32.61840231409248)	(58, 32.001783108372265)	(60, 31.369368836767592)	(62, 30.78472638310202)	(64, 30.00370569948156)	(66, 29.138847643021382)	(68, 28.095509195891502)	(70, 27.158119884016855)	(72, 25.56051687779827)	(74, 23.293509912823417)	(76, 13.383037808570219)
KO_3_2	(1, 32.908041786995)	(2, 33.02826924085469)	(3, 33.08403825172787)	(4, 33.020201403617975)	(5, 33.01348852284813)	(6, 37.30107803294023)	(7, 37.329175325004705)	(8, 37.21218652660865)	(9, 37.288812065990506)	(10, 37.296913433241315)	(12, 37.283456720919375)	(14, 37.295027584884664)	(16, 37.30435322752178)	(18, 37.29587271318856)	(20, 37.249064813517236)	(22, 37.17893077083782)	(24, 37.19256459041368)	(26, 37.14114330470099)	(28, 37.08695880192961)	(30, 36.96911971676595)	(32, 36.84035715483215)	(34, 36.80465198854478)	(36, 36.73107667459547)	(38, 36.61167696831931)	(40, 36.48087818467605)	(42, 36.32227466186173)	(44, 36.07785843279376)	(46, 35.79607610698203)	(48, 35.63036254255508)	(50, 35.42528815684328)	(52, 34.995906457894435)	(54, 34.60508063494496)	(56, 34.38191115995729)	(58, 34.210702450199136)	(60, 33.69407777859526)	(62, 33.207257331131146)	(64, 32.736433260422075)	(66, 32.093218966899535)	(68, 31.61212467511992)	(70, 30.67564822949511)	(72, 29.530728663881646)	(74, 28.157206448043727)	(76, 16.955017721152753)
WT_1_1	(1, 33.178089180563674)	(2, 33.32162688602209)	(3, 33.343799913096895)	(4, 33.342126279198695)	(5, 33.32797830419083)	(6, 36.94350549137712)	(7, 37.32594132542216)	(8, 37.45291499977525)	(9, 37.5025591465516)	(10, 37.498179904406584)	(12, 37.48559318859472)	(14, 37.48020294871218)	(16, 37.474499557992836)	(18, 37.46874147825175)	(20, 37.470430095443575)	(22, 37.39393925772763)	(24, 37.43422071889843)	(26, 37.41938126488965)	(28, 37.36851710342968)	(30, 37.37138528041234)	(32, 37.36657114816979)	(34, 37.37208462564241)	(36, 37.317828460949805)	(38, 37.16575516290446)	(40, 37.01642248985737)	(42, 36.90986680259229)	(44, 36.86611515896266)	(46, 36.76509046592463)	(48, 36.70527844832445)	(50, 36.65245227437421)	(52, 36.56485649480379)	(54, 36.36729060757379)	(56, 36.41295412705967)	(58, 36.42626670195982)	(60, 36.38461392314187)	(62, 36.37767617865711)	(64, 36.213781215973825)	(66, 36.129225166048286)	(68, 36.02263578001576)	(70, 35.93541286057061)	(72, 35.76894437662739)	(74, 35.09334145070576)	(76, 29.400671291485896)
WT_1_2	(1, 32.68634347702312)	(2, 32.776450008240815)	(3, 32.766104793155634)	(4, 32.729596499902605)	(5, 32.72515620083607)	(6, 36.86116480124661)	(7, 36.931679177716845)	(8, 36.800306408354686)	(9, 36.82326306168622)	(10, 36.79463186047557)	(12, 36.81716673409149)	(14, 36.8039952952458)	(16, 36.82572294391753)	(18, 36.83604118907418)	(20, 36.83814484349949)	(22, 36.816565904017025)	(24, 36.795627500337126)	(26, 36.76895573935062)	(28, 36.75147023568721)	(30, 36.7305464407186)	(32, 36.69713856549947)	(34, 36.65585622031435)	(36, 36.651122554502095)	(38, 36.60652780178314)	(40, 36.55370231105981)	(42, 36.49887064728449)	(44, 36.43773983926273)	(46, 36.40373548755588)	(48, 36.36777409051348)	(50, 36.297630087309216)	(52, 36.25445644125817)	(54, 36.264832002326706)	(56, 36.1894200183234)	(58, 36.0823126531385)	(60, 35.99150108933716)	(62, 35.87486309474046)	(64, 35.65135650008385)	(66, 35.45631946091754)	(68, 35.365889760347486)	(70, 35.13025429554201)	(72, 34.683098482182814)	(74, 34.003085817791046)	(76, 26.811360940708337)
WT_2_1	(1, 33.196190968496886)	(2, 33.27722058001743)	(3, 33.30865410764611)	(4, 33.29717674107831)	(5, 33.27093870288148)	(6, 36.89678464742459)	(7, 37.28316446986765)	(8, 37.429974501841535)	(9, 37.48126052216195)	(10, 37.464068969287894)	(12, 37.45595940460274)	(14, 37.44639315731959)	(16, 37.44113482781465)	(18, 37.43632028413654)	(20, 37.420778904480954)	(22, 37.417457256324305)	(24, 37.40195031444888)	(26, 37.358636462721634)	(28, 37.340543492076115)	(30, 37.30655127288426)	(32, 37.29644573706435)	(34, 37.260238849082285)	(36, 37.19179820152566)	(38, 37.04145775222214)	(40, 36.87694853372894)	(42, 36.741899213028624)	(44, 36.66601313187337)	(46, 36.569666294359735)	(48, 36.54182385428857)	(50, 36.41421294895949)	(52, 36.33211771491108)	(54, 36.18711386368176)	(56, 36.1292433134403)	(58, 36.02189041738247)	(60, 35.94093085616162)	(62, 35.833916079083046)	(64, 35.62590741855131)	(66, 35.52194004382942)	(68, 35.325711976026334)	(70, 35.05762870081689)	(72, 34.70639612041913)	(74, 33.88866850793613)	(76, 24.475118666244743)
WT_2_2	(1, 32.7742173925701)	(2, 32.86163965016896)	(3, 32.875511330029674)	(4, 32.85434949163446)	(5, 32.83699072026085)	(6, 37.01282718553869)	(7, 37.06335273446626)	(8, 36.88639721884748)	(9, 36.96095039752559)	(10, 36.96129158006926)	(12, 36.96379382207526)	(14, 36.96993475283259)	(16, 36.98927635928048)	(18, 36.98373542696102)	(20, 36.97564254862295)	(22, 36.95888271060123)	(24, 36.93730442358611)	(26, 36.913174900609725)	(28, 36.902975992251854)	(30, 36.86911122834947)	(32, 36.83624231984248)	(34, 36.81002061296408)	(36, 36.76236577078793)	(38, 36.75890862404863)	(40, 36.71632774756441)	(42, 36.65954893051551)	(44, 36.60640145219391)	(46, 36.529020183158266)	(48, 36.509849759469446)	(50, 36.427992362239685)	(52, 36.3637989553808)	(54, 36.27531389042141)	(56, 36.19867905697768)	(58, 36.085531423013364)	(60, 36.00743703097483)	(62, 35.924787399979934)	(64, 35.73172269114741)	(66, 35.56062232066278)	(68, 35.37466466351143)	(70, 35.14289853243617)	(72, 34.78483175221855)	(74, 34.02862842663642)	(76, 26.29020412371867)
WT_3_1	(1, 33.340878967504906)	(2, 33.4244080101066)	(3, 33.49824883105592)	(4, 33.512043270134356)	(5, 33.48315837987047)	(6, 37.15372043727743)	(7, 37.50916687504188)	(8, 37.634078417721206)	(9, 37.67821147060602)	(10, 37.67487910151877)	(12, 37.6592681208805)	(14, 37.64883342567215)	(16, 37.6340183566305)	(18, 37.6115379398147)	(20, 37.590304914222955)	(22, 37.560021867139966)	(24, 37.507664530616445)	(26, 37.45131497016557)	(28, 37.36474160656472)	(30, 37.28869119120346)	(32, 37.147190121544035)	(34, 37.0360852753086)	(36, 36.89163266774088)	(38, 36.535433013980324)	(40, 36.1487282560925)	(42, 35.712216322337554)	(44, 35.44536926224036)	(46, 35.237982871901636)	(48, 34.69637338800107)	(50, 34.232956065388684)	(52, 33.971907363057944)	(54, 33.447526313782504)	(56, 33.05594132715664)	(58, 32.471715318535715)	(60, 31.859154938288622)	(62, 31.313461289026506)	(64, 30.54791261517962)	(66, 29.689969325829736)	(68, 28.68858583329161)	(70, 27.813467666388647)	(72, 26.250382228223536)	(74, 24.007081310086864)	(76, 13.696305056862593)
