Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
KO_1_1	(0.0, 2.0)	(1.0, 4.0)	(2.0, 4.5)	(3.0, 3.5)	(4.0, 4.0)	(5.0, 5.0)	(6.0, 5.5)	(7.0, 4.5)	(8.0, 4.0)	(9.0, 15.0)	(10.0, 30.5)	(11.0, 51.5)	(12.0, 68.0)	(13.0, 75.0)	(14.0, 80.5)	(15.0, 120.5)	(16.0, 196.0)	(17.0, 229.5)	(18.0, 364.5)	(19.0, 876.0)	(20.0, 1517.5)	(21.0, 1784.5)	(22.0, 2201.5)	(23.0, 3104.0)	(24.0, 4580.0)	(25.0, 5569.0)	(26.0, 6873.5)	(27.0, 9742.5)	(28.0, 11556.0)	(29.0, 11806.0)	(30.0, 12446.0)	(31.0, 14398.0)	(32.0, 17482.0)	(33.0, 19252.5)	(34.0, 20788.0)	(35.0, 26075.0)	(36.0, 31747.0)	(37.0, 33672.0)	(38.0, 33698.0)	(39.0, 34491.5)	(40.0, 37268.5)	(41.0, 39131.5)	(42.0, 38988.5)	(43.0, 40992.5)	(44.0, 44951.5)	(45.0, 48721.5)	(46.0, 50538.5)	(47.0, 50722.5)	(48.0, 51102.5)	(49.0, 51883.0)	(50.0, 52473.5)	(51.0, 52334.0)	(52.0, 51655.0)	(53.0, 52294.5)	(54.0, 53465.0)	(55.0, 52254.0)	(56.0, 49549.5)	(57.0, 47085.0)	(58.0, 46108.5)	(59.0, 43270.5)	(60.0, 38301.0)	(61.0, 34601.5)	(62.0, 33043.5)	(63.0, 31009.0)	(64.0, 26703.5)	(65.0, 23449.5)	(66.0, 20175.5)	(67.0, 17885.5)	(68.0, 16414.0)	(69.0, 14007.5)	(70.0, 11664.5)	(71.0, 10251.0)	(72.0, 9429.0)	(73.0, 7357.5)	(74.0, 5308.0)	(75.0, 4521.0)	(76.0, 4123.0)	(77.0, 3389.0)	(78.0, 2958.0)	(79.0, 2854.5)	(80.0, 2496.0)	(81.0, 1739.5)	(82.0, 1178.5)	(83.0, 1018.0)	(84.0, 1019.0)	(85.0, 1270.5)	(86.0, 1048.0)	(87.0, 575.5)	(88.0, 564.0)	(89.0, 479.0)	(90.0, 293.5)	(91.0, 178.0)	(92.0, 174.0)	(93.0, 319.5)	(94.0, 327.0)	(95.0, 98.0)	(96.0, 7.0)	(97.0, 5.0)	(98.0, 3.5)	(99.0, 2.0)	(100.0, 0.0)
KO_1_2	(0.0, 0.0)	(1.0, 0.5)	(2.0, 2.0)	(3.0, 3.5)	(4.0, 4.0)	(5.0, 8.5)	(6.0, 8.0)	(7.0, 4.5)	(8.0, 5.5)	(9.0, 5.5)	(10.0, 9.5)	(11.0, 14.0)	(12.0, 15.0)	(13.0, 24.0)	(14.0, 46.5)	(15.0, 98.5)	(16.0, 171.5)	(17.0, 205.5)	(18.0, 272.0)	(19.0, 607.5)	(20.0, 1228.5)	(21.0, 1582.5)	(22.0, 2081.5)	(23.0, 3482.0)	(24.0, 5371.0)	(25.0, 6357.5)	(26.0, 6974.5)	(27.0, 8515.0)	(28.0, 10529.5)	(29.0, 11620.5)	(30.0, 12671.0)	(31.0, 15449.5)	(32.0, 18642.0)	(33.0, 20104.5)	(34.0, 20839.0)	(35.0, 23667.0)	(36.0, 27350.5)	(37.0, 28946.0)	(38.0, 29979.0)	(39.0, 32526.5)	(40.0, 34531.5)	(41.0, 35756.0)	(42.0, 36495.5)	(43.0, 38721.5)	(44.0, 42764.5)	(45.0, 45120.0)	(46.0, 45654.5)	(47.0, 46051.0)	(48.0, 47394.5)	(49.0, 49806.5)	(50.0, 51279.5)	(51.0, 51385.0)	(52.0, 50867.5)	(53.0, 49635.5)	(54.0, 49024.0)	(55.0, 49750.5)	(56.0, 48703.0)	(57.0, 45057.5)	(58.0, 43172.5)	(59.0, 41351.0)	(60.0, 38730.5)	(61.0, 37277.5)	(62.0, 36640.0)	(63.0, 34489.5)	(64.0, 29317.0)	(65.0, 24937.0)	(66.0, 22411.0)	(67.0, 21257.0)	(68.0, 19969.0)	(69.0, 17305.0)	(70.0, 14573.5)	(71.0, 13204.0)	(72.0, 12146.0)	(73.0, 9875.0)	(74.0, 7987.0)	(75.0, 7310.0)	(76.0, 6733.5)	(77.0, 5812.0)	(78.0, 5033.0)	(79.0, 4605.5)	(80.0, 4632.5)	(81.0, 4256.0)	(82.0, 3325.5)	(83.0, 2798.5)	(84.0, 2338.5)	(85.0, 1791.0)	(86.0, 1408.5)	(87.0, 1115.0)	(88.0, 1027.5)	(89.0, 818.0)	(90.0, 568.5)	(91.0, 358.5)	(92.0, 276.5)	(93.0, 433.0)	(94.0, 415.5)	(95.0, 145.0)	(96.0, 48.0)	(97.0, 35.5)	(98.0, 15.0)	(99.0, 5.0)	(100.0, 3.0)
KO_2_1	(0.0, 2.0)	(1.0, 7.0)	(2.0, 9.0)	(3.0, 8.5)	(4.0, 11.0)	(5.0, 7.5)	(6.0, 5.0)	(7.0, 6.0)	(8.0, 6.0)	(9.0, 17.5)	(10.0, 31.0)	(11.0, 44.0)	(12.0, 54.5)	(13.0, 60.0)	(14.0, 78.0)	(15.0, 112.0)	(16.0, 174.0)	(17.0, 214.0)	(18.0, 357.0)	(19.0, 780.5)	(20.0, 1343.5)	(21.0, 1627.5)	(22.0, 2058.5)	(23.0, 3033.5)	(24.0, 4554.5)	(25.0, 5531.5)	(26.0, 6762.0)	(27.0, 9558.5)	(28.0, 11575.5)	(29.0, 12027.0)	(30.0, 12528.5)	(31.0, 14182.5)	(32.0, 17299.0)	(33.0, 19262.0)	(34.0, 20906.5)	(35.0, 25921.5)	(36.0, 31300.5)	(37.0, 33310.5)	(38.0, 33417.5)	(39.0, 34572.5)	(40.0, 37602.0)	(41.0, 39363.5)	(42.0, 39151.5)	(43.0, 41243.0)	(44.0, 45491.5)	(45.0, 49429.5)	(46.0, 51206.5)	(47.0, 51387.0)	(48.0, 51869.0)	(49.0, 53069.5)	(50.0, 53972.5)	(51.0, 53499.5)	(52.0, 52506.0)	(53.0, 52951.0)	(54.0, 53914.5)	(55.0, 53126.5)	(56.0, 51156.0)	(57.0, 48614.5)	(58.0, 47247.0)	(59.0, 44632.0)	(60.0, 39974.0)	(61.0, 36016.0)	(62.0, 34102.5)	(63.0, 32295.5)	(64.0, 28126.0)	(65.0, 24749.0)	(66.0, 21570.0)	(67.0, 19401.5)	(68.0, 17812.5)	(69.0, 15072.5)	(70.0, 12445.5)	(71.0, 10966.5)	(72.0, 9989.0)	(73.0, 7736.0)	(74.0, 5616.5)	(75.0, 4776.5)	(76.0, 4369.5)	(77.0, 3587.0)	(78.0, 3090.5)	(79.0, 2964.0)	(80.0, 2588.5)	(81.0, 1850.0)	(82.0, 1258.5)	(83.0, 1036.5)	(84.0, 1029.0)	(85.0, 1229.5)	(86.0, 1032.0)	(87.0, 624.5)	(88.0, 601.0)	(89.0, 507.5)	(90.0, 327.0)	(91.0, 235.0)	(92.0, 253.0)	(93.0, 415.5)	(94.0, 439.0)	(95.0, 162.5)	(96.0, 25.0)	(97.0, 17.0)	(98.0, 5.5)	(99.0, 1.0)	(100.0, 0.0)
KO_2_2	(0.0, 0.0)	(1.0, 3.0)	(2.0, 6.0)	(3.0, 5.0)	(4.0, 4.5)	(5.0, 7.5)	(6.0, 6.0)	(7.0, 4.0)	(8.0, 6.0)	(9.0, 7.5)	(10.0, 8.0)	(11.0, 10.0)	(12.0, 13.0)	(13.0, 20.0)	(14.0, 50.5)	(15.0, 108.0)	(16.0, 166.0)	(17.0, 190.0)	(18.0, 284.5)	(19.0, 627.5)	(20.0, 1239.5)	(21.0, 1604.0)	(22.0, 2079.0)	(23.0, 3424.5)	(24.0, 5306.5)	(25.0, 6319.5)	(26.0, 6917.5)	(27.0, 8521.5)	(28.0, 10734.0)	(29.0, 11940.5)	(30.0, 12733.5)	(31.0, 15280.0)	(32.0, 18796.5)	(33.0, 20557.5)	(34.0, 21177.5)	(35.0, 23733.0)	(36.0, 27242.0)	(37.0, 28815.0)	(38.0, 30341.5)	(39.0, 33240.0)	(40.0, 34873.0)	(41.0, 36054.0)	(42.0, 36974.5)	(43.0, 38875.5)	(44.0, 43034.5)	(45.0, 45686.5)	(46.0, 46087.0)	(47.0, 46484.5)	(48.0, 47912.0)	(49.0, 50482.5)	(50.0, 52020.5)	(51.0, 52199.0)	(52.0, 51890.5)	(53.0, 50957.0)	(54.0, 50537.5)	(55.0, 51064.0)	(56.0, 49873.5)	(57.0, 46438.0)	(58.0, 44677.0)	(59.0, 42869.0)	(60.0, 40086.0)	(61.0, 38620.5)	(62.0, 38139.0)	(63.0, 35971.5)	(64.0, 30514.0)	(65.0, 25873.0)	(66.0, 23096.0)	(67.0, 21646.0)	(68.0, 20531.0)	(69.0, 17944.5)	(70.0, 15183.0)	(71.0, 13927.5)	(72.0, 12746.0)	(73.0, 10332.5)	(74.0, 8315.5)	(75.0, 7459.5)	(76.0, 6852.0)	(77.0, 5960.5)	(78.0, 5152.0)	(79.0, 4670.5)	(80.0, 4953.5)	(81.0, 4556.0)	(82.0, 3297.0)	(83.0, 2736.0)	(84.0, 2427.5)	(85.0, 2000.5)	(86.0, 1550.5)	(87.0, 1235.5)	(88.0, 1166.0)	(89.0, 995.0)	(90.0, 720.5)	(91.0, 398.0)	(92.0, 272.5)	(93.0, 459.0)	(94.0, 457.5)	(95.0, 160.0)	(96.0, 44.0)	(97.0, 30.5)	(98.0, 11.5)	(99.0, 3.0)	(100.0, 1.0)
KO_3_1	(0.0, 4.0)	(1.0, 12.0)	(2.0, 14.5)	(3.0, 7.0)	(4.0, 5.0)	(5.0, 4.0)	(6.0, 1.5)	(7.0, 4.5)	(8.0, 9.0)	(9.0, 13.0)	(10.0, 19.0)	(11.0, 26.0)	(12.0, 31.0)	(13.0, 43.0)	(14.0, 62.0)	(15.0, 100.0)	(16.0, 183.5)	(17.0, 236.0)	(18.0, 386.0)	(19.0, 859.0)	(20.0, 1362.5)	(21.0, 1544.5)	(22.0, 2132.5)	(23.0, 3234.0)	(24.0, 4632.5)	(25.0, 5517.0)	(26.0, 6812.5)	(27.0, 9377.5)	(28.0, 11257.5)	(29.0, 11871.0)	(30.0, 12431.5)	(31.0, 14108.0)	(32.0, 17024.5)	(33.0, 18826.5)	(34.0, 20709.0)	(35.0, 25001.5)	(36.0, 29440.0)	(37.0, 31462.0)	(38.0, 31894.5)	(39.0, 33252.0)	(40.0, 35239.5)	(41.0, 37095.5)	(42.0, 37886.5)	(43.0, 39517.5)	(44.0, 42700.0)	(45.0, 45874.5)	(46.0, 47496.0)	(47.0, 47956.5)	(48.0, 48454.0)	(49.0, 48937.0)	(50.0, 49387.5)	(51.0, 49599.5)	(52.0, 49182.5)	(53.0, 48951.0)	(54.0, 49351.5)	(55.0, 48748.5)	(56.0, 47525.0)	(57.0, 45722.0)	(58.0, 44535.0)	(59.0, 42213.0)	(60.0, 37757.5)	(61.0, 34040.5)	(62.0, 32448.5)	(63.0, 30635.0)	(64.0, 26609.0)	(65.0, 23471.0)	(66.0, 20642.0)	(67.0, 18730.5)	(68.0, 17133.5)	(69.0, 14310.5)	(70.0, 11876.5)	(71.0, 10656.0)	(72.0, 9774.0)	(73.0, 7613.0)	(74.0, 5581.0)	(75.0, 4844.0)	(76.0, 4433.5)	(77.0, 3579.5)	(78.0, 2806.5)	(79.0, 2467.5)	(80.0, 2345.0)	(81.0, 1822.5)	(82.0, 1257.5)	(83.0, 1097.0)	(84.0, 1036.0)	(85.0, 1117.0)	(86.0, 962.0)	(87.0, 667.5)	(88.0, 593.5)	(89.0, 475.0)	(90.0, 326.0)	(91.0, 226.0)	(92.0, 232.0)	(93.0, 374.0)	(94.0, 386.0)	(95.0, 152.5)	(96.0, 49.0)	(97.0, 32.5)	(98.0, 10.0)	(99.0, 2.0)	(100.0, 0.0)
KO_3_2	(0.0, 0.0)	(1.0, 4.0)	(2.0, 7.0)	(3.0, 5.0)	(4.0, 4.0)	(5.0, 5.5)	(6.0, 7.0)	(7.0, 7.0)	(8.0, 7.0)	(9.0, 7.5)	(10.0, 7.5)	(11.0, 12.5)	(12.0, 18.0)	(13.0, 24.5)	(14.0, 52.5)	(15.0, 108.5)	(16.0, 179.0)	(17.0, 215.5)	(18.0, 295.5)	(19.0, 597.0)	(20.0, 1203.5)	(21.0, 1590.5)	(22.0, 1997.0)	(23.0, 3326.0)	(24.0, 5014.0)	(25.0, 5779.5)	(26.0, 6649.0)	(27.0, 8390.0)	(28.0, 10446.0)	(29.0, 11631.5)	(30.0, 12466.5)	(31.0, 14839.0)	(32.0, 18080.5)	(33.0, 19784.5)	(34.0, 20466.5)	(35.0, 23104.0)	(36.0, 26554.0)	(37.0, 28046.5)	(38.0, 29409.5)	(39.0, 31966.5)	(40.0, 33424.0)	(41.0, 34571.0)	(42.0, 35452.0)	(43.0, 37340.5)	(44.0, 40931.5)	(45.0, 43293.5)	(46.0, 43956.5)	(47.0, 43972.5)	(48.0, 45069.5)	(49.0, 47380.5)	(50.0, 48613.0)	(51.0, 48630.5)	(52.0, 47814.5)	(53.0, 47244.5)	(54.0, 47513.0)	(55.0, 47535.0)	(56.0, 46180.5)	(57.0, 43190.0)	(58.0, 41565.0)	(59.0, 39896.5)	(60.0, 37268.0)	(61.0, 35882.5)	(62.0, 35457.0)	(63.0, 33540.5)	(64.0, 28812.0)	(65.0, 24588.0)	(66.0, 22145.5)	(67.0, 21108.5)	(68.0, 19634.0)	(69.0, 16993.0)	(70.0, 14448.5)	(71.0, 13064.0)	(72.0, 12034.5)	(73.0, 9847.5)	(74.0, 7886.0)	(75.0, 7086.5)	(76.0, 6525.0)	(77.0, 5603.0)	(78.0, 4839.5)	(79.0, 4437.5)	(80.0, 4491.0)	(81.0, 4176.5)	(82.0, 3286.0)	(83.0, 2767.0)	(84.0, 2332.5)	(85.0, 1869.0)	(86.0, 1505.0)	(87.0, 1170.5)	(88.0, 1130.0)	(89.0, 978.5)	(90.0, 643.5)	(91.0, 344.5)	(92.0, 270.5)	(93.0, 413.0)	(94.0, 389.5)	(95.0, 125.5)	(96.0, 27.0)	(97.0, 24.5)	(98.0, 13.5)	(99.0, 3.0)	(100.0, 1.0)
WT_1_1	(0.0, 6.0)	(1.0, 8.5)	(2.0, 8.0)	(3.0, 6.0)	(4.0, 7.0)	(5.0, 6.0)	(6.0, 6.5)	(7.0, 12.0)	(8.0, 16.0)	(9.0, 20.5)	(10.0, 32.5)	(11.0, 57.5)	(12.0, 75.0)	(13.0, 89.0)	(14.0, 109.5)	(15.0, 140.0)	(16.0, 192.0)	(17.0, 220.5)	(18.0, 379.0)	(19.0, 959.0)	(20.0, 1591.0)	(21.0, 1802.0)	(22.0, 2285.5)	(23.0, 3297.0)	(24.0, 4883.5)	(25.0, 5941.0)	(26.0, 7572.0)	(27.0, 11007.0)	(28.0, 12872.5)	(29.0, 12935.0)	(30.0, 13720.5)	(31.0, 15857.0)	(32.0, 19220.0)	(33.0, 21229.5)	(34.0, 22823.0)	(35.0, 28724.5)	(36.0, 34923.0)	(37.0, 36821.5)	(38.0, 36763.5)	(39.0, 37881.5)	(40.0, 41058.0)	(41.0, 43172.5)	(42.0, 43295.0)	(43.0, 45643.0)	(44.0, 50171.5)	(45.0, 54280.0)	(46.0, 56204.5)	(47.0, 56017.0)	(48.0, 56049.5)	(49.0, 57342.0)	(50.0, 58416.0)	(51.0, 57818.5)	(52.0, 56789.0)	(53.0, 57618.0)	(54.0, 58885.0)	(55.0, 57540.0)	(56.0, 55031.0)	(57.0, 52570.5)	(58.0, 51262.0)	(59.0, 48177.5)	(60.0, 42757.5)	(61.0, 38615.5)	(62.0, 36812.0)	(63.0, 34555.0)	(64.0, 29778.5)	(65.0, 26124.5)	(66.0, 22481.0)	(67.0, 19971.5)	(68.0, 18628.5)	(69.0, 15849.5)	(70.0, 12935.0)	(71.0, 11456.0)	(72.0, 10383.0)	(73.0, 8009.5)	(74.0, 5804.0)	(75.0, 4898.0)	(76.0, 4574.0)	(77.0, 3854.5)	(78.0, 3269.5)	(79.0, 3078.0)	(80.0, 2801.0)	(81.0, 2069.0)	(82.0, 1387.5)	(83.0, 1162.5)	(84.0, 1139.5)	(85.0, 1406.5)	(86.0, 1158.0)	(87.0, 618.0)	(88.0, 634.5)	(89.0, 568.0)	(90.0, 346.5)	(91.0, 227.0)	(92.0, 245.5)	(93.0, 430.5)	(94.0, 433.5)	(95.0, 134.0)	(96.0, 15.5)	(97.0, 9.0)	(98.0, 3.0)	(99.0, 1.5)	(100.0, 0.0)
WT_1_2	(0.0, 0.0)	(1.0, 1.5)	(2.0, 4.5)	(3.0, 5.0)	(4.0, 4.0)	(5.0, 3.0)	(6.0, 4.0)	(7.0, 4.0)	(8.0, 2.0)	(9.0, 6.0)	(10.0, 6.5)	(11.0, 9.0)	(12.0, 15.0)	(13.0, 21.0)	(14.0, 54.0)	(15.0, 115.0)	(16.0, 201.0)	(17.0, 253.5)	(18.0, 324.0)	(19.0, 671.5)	(20.0, 1290.5)	(21.0, 1633.0)	(22.0, 2172.5)	(23.0, 3779.0)	(24.0, 5794.5)	(25.0, 6743.5)	(26.0, 7601.5)	(27.0, 9453.0)	(28.0, 11880.0)	(29.0, 13312.5)	(30.0, 14218.5)	(31.0, 17135.0)	(32.0, 20932.0)	(33.0, 22719.5)	(34.0, 23562.5)	(35.0, 26309.5)	(36.0, 30073.0)	(37.0, 31937.5)	(38.0, 33112.5)	(39.0, 35928.5)	(40.0, 38039.0)	(41.0, 39638.5)	(42.0, 40776.0)	(43.0, 43047.0)	(44.0, 47267.5)	(45.0, 49874.0)	(46.0, 50523.0)	(47.0, 50816.5)	(48.0, 52170.0)	(49.0, 54695.0)	(50.0, 56165.0)	(51.0, 56373.0)	(52.0, 56127.5)	(53.0, 55017.5)	(54.0, 54370.5)	(55.0, 55066.0)	(56.0, 54007.0)	(57.0, 49777.0)	(58.0, 47283.5)	(59.0, 45408.0)	(60.0, 42917.0)	(61.0, 41641.5)	(62.0, 40993.0)	(63.0, 38684.5)	(64.0, 32791.5)	(65.0, 27685.0)	(66.0, 24861.5)	(67.0, 23559.5)	(68.0, 22130.5)	(69.0, 19157.5)	(70.0, 16322.0)	(71.0, 15031.0)	(72.0, 13658.5)	(73.0, 10968.0)	(74.0, 8888.5)	(75.0, 8126.0)	(76.0, 7427.5)	(77.0, 6340.5)	(78.0, 5508.5)	(79.0, 5068.0)	(80.0, 5181.0)	(81.0, 4765.0)	(82.0, 3614.5)	(83.0, 2993.5)	(84.0, 2517.0)	(85.0, 1997.0)	(86.0, 1618.5)	(87.0, 1281.5)	(88.0, 1182.5)	(89.0, 962.0)	(90.0, 677.0)	(91.0, 399.5)	(92.0, 285.0)	(93.0, 470.5)	(94.0, 492.5)	(95.0, 187.0)	(96.0, 44.5)	(97.0, 36.5)	(98.0, 19.0)	(99.0, 6.0)	(100.0, 3.0)
WT_2_1	(0.0, 4.0)	(1.0, 6.5)	(2.0, 6.5)	(3.0, 8.5)	(4.0, 13.0)	(5.0, 11.0)	(6.0, 6.0)	(7.0, 6.5)	(8.0, 10.0)	(9.0, 16.0)	(10.0, 26.0)	(11.0, 42.0)	(12.0, 54.0)	(13.0, 67.5)	(14.0, 96.0)	(15.0, 146.5)	(16.0, 226.0)	(17.0, 270.0)	(18.0, 416.0)	(19.0, 973.5)	(20.0, 1647.5)	(21.0, 1912.5)	(22.0, 2499.0)	(23.0, 3726.5)	(24.0, 5430.5)	(25.0, 6492.5)	(26.0, 8317.0)	(27.0, 12138.0)	(28.0, 14485.0)	(29.0, 14832.5)	(30.0, 15338.0)	(31.0, 17363.5)	(32.0, 20819.0)	(33.0, 22758.0)	(34.0, 24792.0)	(35.0, 30822.5)	(36.0, 37066.5)	(37.0, 39313.0)	(38.0, 39242.5)	(39.0, 40251.5)	(40.0, 43504.0)	(41.0, 45713.0)	(42.0, 45758.0)	(43.0, 48020.5)	(44.0, 52675.0)	(45.0, 56966.5)	(46.0, 58859.5)	(47.0, 58723.5)	(48.0, 58636.0)	(49.0, 59421.5)	(50.0, 60153.5)	(51.0, 59897.5)	(52.0, 59155.5)	(53.0, 59769.5)	(54.0, 60869.5)	(55.0, 59480.0)	(56.0, 57219.0)	(57.0, 55185.0)	(58.0, 54027.5)	(59.0, 50538.5)	(60.0, 44724.5)	(61.0, 40500.5)	(62.0, 38595.5)	(63.0, 36486.5)	(64.0, 31861.0)	(65.0, 27880.5)	(66.0, 23929.5)	(67.0, 21440.0)	(68.0, 19810.5)	(69.0, 16764.0)	(70.0, 13874.0)	(71.0, 12392.5)	(72.0, 11316.0)	(73.0, 8759.5)	(74.0, 6397.0)	(75.0, 5529.0)	(76.0, 4993.0)	(77.0, 4028.0)	(78.0, 3431.5)	(79.0, 3254.0)	(80.0, 2947.0)	(81.0, 2214.0)	(82.0, 1494.5)	(83.0, 1200.5)	(84.0, 1194.5)	(85.0, 1414.5)	(86.0, 1174.0)	(87.0, 710.0)	(88.0, 695.0)	(89.0, 592.5)	(90.0, 351.0)	(91.0, 184.5)	(92.0, 171.5)	(93.0, 330.0)	(94.0, 308.0)	(95.0, 67.0)	(96.0, 7.0)	(97.0, 5.5)	(98.0, 5.0)	(99.0, 3.0)	(100.0, 0.0)
WT_2_2	(0.0, 0.0)	(1.0, 2.5)	(2.0, 4.5)	(3.0, 4.5)	(4.0, 5.0)	(5.0, 6.0)	(6.0, 6.5)	(7.0, 5.5)	(8.0, 5.0)	(9.0, 7.5)	(10.0, 11.5)	(11.0, 16.0)	(12.0, 19.0)	(13.0, 23.5)	(14.0, 56.0)	(15.0, 140.5)	(16.0, 220.5)	(17.0, 244.0)	(18.0, 378.0)	(19.0, 789.0)	(20.0, 1586.5)	(21.0, 2110.0)	(22.0, 2639.5)	(23.0, 4383.0)	(24.0, 6842.5)	(25.0, 8086.0)	(26.0, 8754.0)	(27.0, 10797.5)	(28.0, 13404.5)	(29.0, 14636.5)	(30.0, 16013.5)	(31.0, 19390.0)	(32.0, 23073.5)	(33.0, 24758.5)	(34.0, 25911.5)	(35.0, 28977.0)	(36.0, 33096.5)	(37.0, 35303.0)	(38.0, 36593.5)	(39.0, 39363.0)	(40.0, 41153.0)	(41.0, 42305.0)	(42.0, 43148.5)	(43.0, 45086.0)	(44.0, 49725.5)	(45.0, 53037.0)	(46.0, 53643.0)	(47.0, 53444.5)	(48.0, 54463.0)	(49.0, 57207.5)	(50.0, 58733.5)	(51.0, 58733.5)	(52.0, 57762.5)	(53.0, 56459.0)	(54.0, 56127.5)	(55.0, 56779.0)	(56.0, 55976.5)	(57.0, 51940.5)	(58.0, 49363.0)	(59.0, 47267.0)	(60.0, 44220.5)	(61.0, 42480.0)	(62.0, 41692.0)	(63.0, 39758.5)	(64.0, 34085.0)	(65.0, 29064.5)	(66.0, 26374.0)	(67.0, 24967.5)	(68.0, 23242.0)	(69.0, 19837.0)	(70.0, 16860.5)	(71.0, 15554.5)	(72.0, 14053.5)	(73.0, 11306.0)	(74.0, 9190.5)	(75.0, 8328.5)	(76.0, 7689.5)	(77.0, 6650.5)	(78.0, 5709.5)	(79.0, 5169.5)	(80.0, 5269.0)	(81.0, 4811.5)	(82.0, 3748.5)	(83.0, 3241.0)	(84.0, 2751.0)	(85.0, 2095.5)	(86.0, 1604.5)	(87.0, 1281.0)	(88.0, 1162.0)	(89.0, 884.5)	(90.0, 576.0)	(91.0, 343.5)	(92.0, 260.5)	(93.0, 423.0)	(94.0, 412.0)	(95.0, 141.0)	(96.0, 44.0)	(97.0, 31.0)	(98.0, 12.0)	(99.0, 3.0)	(100.0, 0.0)
