Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17
KO_1_1	(21.0, 6.0)	(22.0, 96.0)	(23.0, 386.0)	(24.0, 825.0)	(25.0, 1755.0)	(26.0, 2885.0)	(27.0, 4348.0)	(28.0, 6344.0)	(29.0, 9018.0)	(30.0, 12415.0)	(31.0, 17242.0)	(32.0, 23409.0)	(33.0, 34134.0)	(34.0, 53288.0)	(35.0, 98903.0)	(36.0, 264770.0)	(37.0, 675513.0)	
KO_1_2	(20.0, 1.0)	(21.0, 38.0)	(22.0, 388.0)	(23.0, 1797.0)	(24.0, 4492.0)	(25.0, 7983.0)	(26.0, 10159.0)	(27.0, 11883.0)	(28.0, 14136.0)	(29.0, 16377.0)	(30.0, 19822.0)	(31.0, 23920.0)	(32.0, 30214.0)	(33.0, 39808.0)	(34.0, 55509.0)	(35.0, 89814.0)	(36.0, 205186.0)	(37.0, 673810.0)
KO_2_1	(21.0, 20.0)	(22.0, 266.0)	(23.0, 884.0)	(24.0, 1845.0)	(25.0, 3309.0)	(26.0, 4833.0)	(27.0, 6882.0)	(28.0, 9410.0)	(29.0, 12703.0)	(30.0, 16961.0)	(31.0, 23630.0)	(32.0, 32418.0)	(33.0, 47725.0)	(34.0, 74594.0)	(35.0, 138693.0)	(36.0, 336102.0)	(37.0, 520238.0)	
KO_2_2	(20.0, 2.0)	(21.0, 36.0)	(22.0, 467.0)	(23.0, 1969.0)	(24.0, 4670.0)	(25.0, 7497.0)	(26.0, 9388.0)	(27.0, 11225.0)	(28.0, 13082.0)	(29.0, 15966.0)	(30.0, 19178.0)	(31.0, 23881.0)	(32.0, 30032.0)	(33.0, 39880.0)	(34.0, 56211.0)	(35.0, 92551.0)	(36.0, 218858.0)	(37.0, 685620.0)
KO_3_1	(21.0, 164.0)	(22.0, 2502.0)	(23.0, 8256.0)	(24.0, 11633.0)	(25.0, 15094.0)	(26.0, 19486.0)	(27.0, 24351.0)	(28.0, 30865.0)	(29.0, 38364.0)	(30.0, 48519.0)	(31.0, 62074.0)	(32.0, 79280.0)	(33.0, 102088.0)	(34.0, 136583.0)	(35.0, 190004.0)	(36.0, 257129.0)	(37.0, 136745.0)	
KO_3_2	(20.0, 6.0)	(21.0, 244.0)	(22.0, 2174.0)	(23.0, 5556.0)	(24.0, 8506.0)	(25.0, 10944.0)	(26.0, 13707.0)	(27.0, 16654.0)	(28.0, 20701.0)	(29.0, 25392.0)	(30.0, 32157.0)	(31.0, 41226.0)	(32.0, 53775.0)	(33.0, 72173.0)	(34.0, 98663.0)	(35.0, 146428.0)	(36.0, 276939.0)	(37.0, 337892.0)
WT_1_1	(21.0, 8.0)	(22.0, 82.0)	(23.0, 347.0)	(24.0, 774.0)	(25.0, 1621.0)	(26.0, 2777.0)	(27.0, 4342.0)	(28.0, 6039.0)	(29.0, 8725.0)	(30.0, 12014.0)	(31.0, 16707.0)	(32.0, 23317.0)	(33.0, 33559.0)	(34.0, 52838.0)	(35.0, 96603.0)	(36.0, 264964.0)	(37.0, 810103.0)	
WT_1_2	(21.0, 36.0)	(22.0, 470.0)	(23.0, 2113.0)	(24.0, 5376.0)	(25.0, 9481.0)	(26.0, 11849.0)	(27.0, 13902.0)	(28.0, 16384.0)	(29.0, 19167.0)	(30.0, 22839.0)	(31.0, 27552.0)	(32.0, 34400.0)	(33.0, 44543.0)	(34.0, 61687.0)	(35.0, 99105.0)	(36.0, 227319.0)	(37.0, 738597.0)	
WT_2_1	(20.0, 1.0)	(21.0, 15.0)	(22.0, 211.0)	(23.0, 853.0)	(24.0, 1803.0)	(25.0, 2885.0)	(26.0, 4325.0)	(27.0, 6292.0)	(28.0, 8905.0)	(29.0, 12013.0)	(30.0, 16385.0)	(31.0, 22430.0)	(32.0, 31011.0)	(33.0, 45042.0)	(34.0, 71255.0)	(35.0, 131894.0)	(36.0, 342924.0)	(37.0, 710093.0)
WT_2_2	(20.0, 2.0)	(21.0, 38.0)	(22.0, 527.0)	(23.0, 2316.0)	(24.0, 5556.0)	(25.0, 8826.0)	(26.0, 11236.0)	(27.0, 13141.0)	(28.0, 15710.0)	(29.0, 18433.0)	(30.0, 21929.0)	(31.0, 27003.0)	(32.0, 33442.0)	(33.0, 43636.0)	(34.0, 62216.0)	(35.0, 100610.0)	(36.0, 239544.0)	(37.0, 804172.0)
WT_3_1	(20.0, 5.0)	(21.0, 145.0)	(22.0, 2243.0)	(23.0, 7217.0)	(24.0, 10477.0)	(25.0, 13999.0)	(26.0, 17770.0)	(27.0, 23163.0)	(28.0, 29255.0)	(29.0, 36799.0)	(30.0, 46593.0)	(31.0, 59535.0)	(32.0, 76407.0)	(33.0, 100396.0)	(34.0, 136700.0)	(35.0, 196537.0)	(36.0, 289793.0)	(37.0, 176720.0)
WT_3_2	(20.0, 7.0)	(21.0, 225.0)	(22.0, 2238.0)	(23.0, 5962.0)	(24.0, 9140.0)	(25.0, 11763.0)	(26.0, 14724.0)	(27.0, 18306.0)	(28.0, 21888.0)	(29.0, 27359.0)	(30.0, 34115.0)	(31.0, 43350.0)	(32.0, 56989.0)	(33.0, 75895.0)	(34.0, 103360.0)	(35.0, 154174.0)	(36.0, 293038.0)	(37.0, 351221.0)
