Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
KO_1_1	(1.0, 24.149795085592324)	(2.0, 10.076234197743277)	(3.0, 6.8407325603427775)	(4.0, 5.109394216178495)	(5.0, 4.166840020072309)	(6.0, 3.406241030591576)	(7.0, 2.859016380478491)	(8.0, 2.492075352752872)	(9.0, 2.097111428234495)	('>10', 26.230961836897738)	('>50', 6.215139447546393)	('>100', 5.76701949783223)	('>500', 0.49993124275005557)	('>1k', 0.08950770298697223)	('>5k', 0.0)	('>10k+', 0.0)
KO_1_2	(1.0, 22.987849377732548)	(2.0, 11.213136993536486)	(3.0, 7.789041757148853)	(4.0, 6.036548178263779)	(5.0, 4.686420013309937)	(6.0, 3.8578615210674574)	(7.0, 3.204056377148244)	(8.0, 2.776702360340229)	(9.0, 2.391609478006839)	('>10', 26.26693683620367)	('>50', 5.040737079795837)	('>100', 3.5410561410628634)	('>500', 0.043432269507910216)	('>1k', 0.16461161687540019)	('>5k', 0.0)	('>10k+', 0.0)
KO_2_1	(1.0, 24.744256808388585)	(2.0, 10.388496825474883)	(3.0, 6.86942518409431)	(4.0, 5.141311320353839)	(5.0, 4.111438491563555)	(6.0, 3.4402871896371923)	(7.0, 2.94484838416516)	(8.0, 2.5249135739632695)	(9.0, 2.214775076718663)	('>10', 25.92974166403576)	('>50', 6.065285945980492)	('>100', 5.331674698912563)	('>500', 0.2935448367117167)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
KO_2_2	(1.0, 23.06134204834211)	(2.0, 11.481350912629154)	(3.0, 8.024056354064543)	(4.0, 5.9944415063600065)	(5.0, 4.843788573361136)	(6.0, 3.9868177798931854)	(7.0, 3.306575617015301)	(8.0, 2.8028619383906572)	(9.0, 2.4412550950508343)	('>10', 25.760021020136197)	('>50', 4.811267243421299)	('>100', 3.2913232752344173)	('>500', 0.04585850261202627)	('>1k', 0.1490401334890854)	('>5k', 0.0)	('>10k+', 0.0)
KO_3_1	(1.0, 26.69680739920741)	(2.0, 10.76768756384188)	(3.0, 7.092702083067998)	(4.0, 5.294724524489935)	(5.0, 4.167004124533167)	(6.0, 3.4530192394207107)	(7.0, 2.8563103069781484)	(8.0, 2.4738223895228355)	(9.0, 2.0674935709353877)	('>10', 24.375829332920425)	('>50', 5.740859416194677)	('>100', 4.796659527893862)	('>500', 0.21708052099354108)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
KO_3_2	(1.0, 24.465342659943573)	(2.0, 12.13603316312474)	(3.0, 8.242555797797346)	(4.0, 6.309346932491297)	(5.0, 4.882011957319143)	(6.0, 3.921400554223692)	(7.0, 3.3027521763636636)	(8.0, 2.7662779693746247)	(9.0, 2.372746021558135)	('>10', 24.355341145954604)	('>50', 4.349826700550192)	('>100', 2.7202082891211665)	('>500', 0.044602097134496504)	('>1k', 0.13155453504330136)	('>5k', 0.0)	('>10k+', 0.0)
WT_1_1	(1.0, 23.079937834357644)	(2.0, 9.516135680941424)	(3.0, 6.4389528915114225)	(4.0, 5.0665521706646395)	(5.0, 3.990784096519288)	(6.0, 3.3081502153409796)	(7.0, 2.9395807688923914)	(8.0, 2.530892004654516)	(9.0, 2.136996071066473)	('>10', 26.876671486846604)	('>50', 6.845733076216344)	('>100', 6.754839156947328)	('>500', 0.5147745460409816)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
WT_1_2	(1.0, 21.775092147620732)	(2.0, 10.824289199028838)	(3.0, 7.568074809166552)	(4.0, 6.045479066268576)	(5.0, 4.760747634272943)	(6.0, 3.8671523231724922)	(7.0, 3.2775673003964187)	(8.0, 2.8128350220663876)	(9.0, 2.487452487153995)	('>10', 27.118602706552185)	('>50', 5.4940166877012855)	('>100', 3.67800252011379)	('>500', 0.13279177802855818)	('>1k', 0.15789631845720772)	('>5k', 0.0)	('>10k+', 0.0)
WT_2_1	(1.0, 24.113356104261584)	(2.0, 9.767510233968931)	(3.0, 6.546983035309532)	(4.0, 5.048110303113719)	(5.0, 4.029309115271837)	(6.0, 3.3322408845473954)	(7.0, 2.821718675434874)	(8.0, 2.4389803165900874)	(9.0, 2.184606174531898)	('>10', 26.355692630819426)	('>50', 6.473477597072512)	('>100', 6.381949746291114)	('>500', 0.424556084719173)	('>1k', 0.08150909806795474)	('>5k', 0.0)	('>10k+', 0.0)
WT_2_2	(1.0, 23.141707150574614)	(2.0, 10.842029393852323)	(3.0, 7.7180678828331875)	(4.0, 5.930483673868093)	(5.0, 4.740415106103644)	(6.0, 3.8595782930467775)	(7.0, 3.1740574586544867)	(8.0, 2.7856995944334346)	(9.0, 2.4829504890575236)	('>10', 26.427895504947674)	('>50', 5.128850030204676)	('>100', 3.5667804596129318)	('>500', 0.07264809926690487)	('>1k', 0.12883686354365162)	('>5k', 0.0)	('>10k+', 0.0)
