Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40
KO_1_1	(36, 12.0)	(37, 8.0)	(38, 12.0)	(39, 11.0)	(40, 15.0)	(41, 17.0)	(42, 26.0)	(43, 8.0)	(44, 11.0)	(45, 6.0)	(46, 12.0)	(47, 8.0)	(48, 7.0)	(49, 10.0)	(50, 16.0)	(51, 5.0)	(52, 8.0)	(53, 12.0)	(54, 18.0)	(55, 9.0)	(56, 16.0)	(57, 14.0)	(58, 17.0)	(59, 15.0)	(60, 26.0)	(61, 29.0)	(62, 35.0)	(63, 33.0)	(64, 44.0)	(65, 60.0)	(66, 57.0)	(67, 75.0)	(68, 75.0)	(69, 87.0)	(70, 98.0)	(71, 123.0)	(72, 166.0)	(73, 210.0)	(74, 266.0)	(75, 299.0)	(76, 1203361.0)
KO_1_2	(36, 12.0)	(37, 8.0)	(38, 12.0)	(39, 11.0)	(40, 15.0)	(41, 17.0)	(42, 26.0)	(43, 8.0)	(44, 11.0)	(45, 6.0)	(46, 12.0)	(47, 8.0)	(48, 7.0)	(49, 10.0)	(50, 16.0)	(51, 5.0)	(52, 8.0)	(53, 12.0)	(54, 18.0)	(55, 9.0)	(56, 16.0)	(57, 14.0)	(58, 17.0)	(59, 15.0)	(60, 26.0)	(61, 29.0)	(62, 35.0)	(63, 33.0)	(64, 44.0)	(65, 60.0)	(66, 57.0)	(67, 75.0)	(68, 75.0)	(69, 87.0)	(70, 98.0)	(71, 123.0)	(72, 166.0)	(73, 210.0)	(74, 266.0)	(75, 299.0)	(76, 1203361.0)
KO_2_1	(36, 13.0)	(37, 14.0)	(38, 7.0)	(39, 14.0)	(40, 14.0)	(41, 14.0)	(42, 16.0)	(43, 13.0)	(44, 12.0)	(45, 6.0)	(46, 8.0)	(47, 11.0)	(48, 9.0)	(49, 8.0)	(50, 11.0)	(51, 7.0)	(52, 9.0)	(53, 12.0)	(54, 13.0)	(55, 10.0)	(56, 14.0)	(57, 17.0)	(58, 22.0)	(59, 15.0)	(60, 14.0)	(61, 23.0)	(62, 48.0)	(63, 38.0)	(64, 46.0)	(65, 45.0)	(66, 61.0)	(67, 61.0)	(68, 75.0)	(69, 98.0)	(70, 125.0)	(71, 122.0)	(72, 148.0)	(73, 150.0)	(74, 216.0)	(75, 292.0)	(76, 1228662.0)
KO_2_2	(36, 90.0)	(37, 17.0)	(38, 30.0)	(39, 44.0)	(40, 17.0)	(41, 56.0)	(42, 35.0)	(43, 47.0)	(44, 27.0)	(45, 22.0)	(46, 10.0)	(47, 13.0)	(48, 9.0)	(49, 8.0)	(50, 11.0)	(51, 7.0)	(52, 15.0)	(53, 12.0)	(54, 15.0)	(55, 13.0)	(56, 17.0)	(57, 18.0)	(58, 22.0)	(59, 15.0)	(60, 14.0)	(61, 23.0)	(62, 51.0)	(63, 38.0)	(64, 49.0)	(65, 51.0)	(66, 95.0)	(67, 163.0)	(68, 344.0)	(69, 156.0)	(70, 252.0)	(71, 1048.0)	(72, 148.0)	(73, 150.0)	(74, 216.0)	(75, 292.0)	(76, 1226853.0)
KO_3_1	(36, 16.0)	(37, 15.0)	(38, 17.0)	(39, 15.0)	(40, 11.0)	(41, 23.0)	(42, 15.0)	(43, 23.0)	(44, 13.0)	(45, 22.0)	(46, 9.0)	(47, 16.0)	(48, 11.0)	(49, 13.0)	(50, 7.0)	(51, 10.0)	(52, 13.0)	(53, 16.0)	(54, 19.0)	(55, 16.0)	(56, 22.0)	(57, 20.0)	(58, 15.0)	(59, 12.0)	(60, 14.0)	(61, 22.0)	(62, 38.0)	(63, 40.0)	(64, 45.0)	(65, 49.0)	(66, 39.0)	(67, 56.0)	(68, 66.0)	(69, 86.0)	(70, 131.0)	(71, 118.0)	(72, 130.0)	(73, 177.0)	(74, 185.0)	(75, 248.0)	(76, 1161324.0)
KO_3_2	(36, 16.0)	(37, 15.0)	(38, 17.0)	(39, 15.0)	(40, 11.0)	(41, 23.0)	(42, 15.0)	(43, 23.0)	(44, 13.0)	(45, 22.0)	(46, 9.0)	(47, 16.0)	(48, 11.0)	(49, 13.0)	(50, 7.0)	(51, 10.0)	(52, 13.0)	(53, 16.0)	(54, 19.0)	(55, 16.0)	(56, 22.0)	(57, 20.0)	(58, 15.0)	(59, 12.0)	(60, 14.0)	(61, 22.0)	(62, 38.0)	(63, 40.0)	(64, 45.0)	(65, 49.0)	(66, 39.0)	(67, 56.0)	(68, 66.0)	(69, 86.0)	(70, 131.0)	(71, 118.0)	(72, 130.0)	(73, 177.0)	(74, 185.0)	(75, 248.0)	(76, 1161324.0)
WT_1_1	(36, 9.0)	(37, 7.0)	(38, 11.0)	(39, 12.0)	(40, 18.0)	(41, 14.0)	(42, 13.0)	(43, 9.0)	(44, 17.0)	(45, 6.0)	(46, 12.0)	(47, 6.0)	(48, 8.0)	(49, 12.0)	(50, 9.0)	(51, 7.0)	(52, 10.0)	(53, 10.0)	(54, 9.0)	(55, 10.0)	(56, 13.0)	(57, 18.0)	(58, 14.0)	(59, 19.0)	(60, 24.0)	(61, 20.0)	(62, 36.0)	(63, 39.0)	(64, 46.0)	(65, 55.0)	(66, 32.0)	(67, 68.0)	(68, 87.0)	(69, 96.0)	(70, 104.0)	(71, 154.0)	(72, 153.0)	(73, 172.0)	(74, 233.0)	(75, 275.0)	(76, 1332953.0)
WT_1_2	(36, 9.0)	(37, 7.0)	(38, 11.0)	(39, 12.0)	(40, 18.0)	(41, 14.0)	(42, 13.0)	(43, 9.0)	(44, 17.0)	(45, 6.0)	(46, 12.0)	(47, 6.0)	(48, 8.0)	(49, 12.0)	(50, 9.0)	(51, 7.0)	(52, 10.0)	(53, 10.0)	(54, 9.0)	(55, 10.0)	(56, 13.0)	(57, 18.0)	(58, 14.0)	(59, 19.0)	(60, 24.0)	(61, 20.0)	(62, 36.0)	(63, 39.0)	(64, 46.0)	(65, 55.0)	(66, 32.0)	(67, 68.0)	(68, 87.0)	(69, 96.0)	(70, 104.0)	(71, 154.0)	(72, 153.0)	(73, 172.0)	(74, 233.0)	(75, 275.0)	(76, 1332953.0)
WT_2_1	(36, 13.0)	(37, 11.0)	(38, 17.0)	(39, 16.0)	(40, 13.0)	(41, 16.0)	(42, 15.0)	(43, 19.0)	(44, 8.0)	(45, 7.0)	(46, 13.0)	(47, 9.0)	(48, 13.0)	(49, 7.0)	(50, 11.0)	(51, 8.0)	(52, 10.0)	(53, 10.0)	(54, 13.0)	(55, 11.0)	(56, 10.0)	(57, 15.0)	(58, 18.0)	(59, 23.0)	(60, 17.0)	(61, 20.0)	(62, 29.0)	(63, 49.0)	(64, 49.0)	(65, 77.0)	(66, 59.0)	(67, 61.0)	(68, 87.0)	(69, 106.0)	(70, 126.0)	(71, 151.0)	(72, 166.0)	(73, 232.0)	(74, 251.0)	(75, 296.0)	(76, 1406255.0)
WT_2_2	(36, 13.0)	(37, 11.0)	(38, 17.0)	(39, 16.0)	(40, 13.0)	(41, 16.0)	(42, 15.0)	(43, 19.0)	(44, 8.0)	(45, 7.0)	(46, 13.0)	(47, 9.0)	(48, 13.0)	(49, 7.0)	(50, 11.0)	(51, 8.0)	(52, 10.0)	(53, 10.0)	(54, 13.0)	(55, 11.0)	(56, 10.0)	(57, 15.0)	(58, 18.0)	(59, 23.0)	(60, 17.0)	(61, 20.0)	(62, 29.0)	(63, 49.0)	(64, 49.0)	(65, 77.0)	(66, 59.0)	(67, 61.0)	(68, 87.0)	(69, 106.0)	(70, 126.0)	(71, 151.0)	(72, 166.0)	(73, 232.0)	(74, 251.0)	(75, 296.0)	(76, 1406255.0)
WT_3_1	(36, 19.0)	(37, 17.0)	(38, 7.0)	(39, 8.0)	(40, 18.0)	(41, 16.0)	(42, 18.0)	(43, 15.0)	(44, 10.0)	(45, 15.0)	(46, 12.0)	(47, 9.0)	(48, 14.0)	(49, 5.0)	(50, 7.0)	(51, 9.0)	(52, 10.0)	(53, 13.0)	(54, 10.0)	(55, 16.0)	(56, 14.0)	(57, 15.0)	(58, 21.0)	(59, 14.0)	(60, 22.0)	(61, 26.0)	(62, 35.0)	(63, 33.0)	(64, 45.0)	(65, 64.0)	(66, 51.0)	(67, 66.0)	(68, 95.0)	(69, 95.0)	(70, 110.0)	(71, 134.0)	(72, 163.0)	(73, 212.0)	(74, 230.0)	(75, 256.0)	(76, 1221805.0)
WT_3_2	(36, 19.0)	(37, 17.0)	(38, 7.0)	(39, 8.0)	(40, 18.0)	(41, 16.0)	(42, 18.0)	(43, 15.0)	(44, 10.0)	(45, 15.0)	(46, 12.0)	(47, 9.0)	(48, 14.0)	(49, 5.0)	(50, 7.0)	(51, 9.0)	(52, 10.0)	(53, 13.0)	(54, 10.0)	(55, 16.0)	(56, 14.0)	(57, 15.0)	(58, 21.0)	(59, 14.0)	(60, 22.0)	(61, 26.0)	(62, 35.0)	(63, 33.0)	(64, 45.0)	(65, 64.0)	(66, 51.0)	(67, 66.0)	(68, 95.0)	(69, 95.0)	(70, 110.0)	(71, 134.0)	(72, 163.0)	(73, 212.0)	(74, 230.0)	(75, 256.0)	(76, 1221805.0)
