Sample	fastp-pct_duplication	fastp-after_filtering_q30_rate	fastp-after_filtering_q30_bases	fastp-filtering_result_passed_filter_reads	fastp-after_filtering_gc_content	fastp-pct_surviving	fastp-pct_adapter	fastp-before_filtering_read1_mean_length	fastp-before_filtering_read2_mean_length	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
KO_1_1										63.335217245800536	50.0	75.9858836159514	76	20.0	1.2053369999999999
KO_1_2										63.06500475023685	51.0	75.9858836159514	76	20.0	1.2053369999999999
KO_1_SRR10045016	8.702269999999999	93.905	172.01259399999998	2.4106739999999998	50.619800000000005	97.22906086047458	0.16762282122598587	76.0	76.0						
KO_2_1										62.5628341518741	50.0	75.98661533848077	76	20.0	1.230513
KO_2_2										62.74344630030651	51.0	75.97092838515319	76	20.0	1.230513
KO_2_SRR10045017	8.45073	93.21730000000001	174.303128	2.461026	50.821000000000005	96.99855508758156	0.2863023406319935	76.0	76.0						
KO_3_1										60.40519589684729	50.0	75.98426582595171	76	30.0	1.1631369999999999
KO_3_2										60.94762780881234	51.0	75.98426582595171	76	20.0	1.1631369999999999
KO_3_SRR10045018	4.3095300000000005	87.5438	154.742552	2.3262739999999997	50.7249	94.27793070131925	0.15975916973864665	76.0	76.0						
WT_1_1										64.8171376827114	50.0	75.98796616772299	76	20.0	1.33482
WT_1_2										64.46563649748174	51.0	75.98796616772299	76	20.0	1.33482
WT_1_SRR10045019	9.54004	94.0586	190.807819	2.66964	50.660700000000006	97.04267109076132	0.14285735057411933	76.0	76.0						
WT_2_1										63.67473304790779	50.0	75.98722038830195	76	20.0	1.408337
WT_2_2										63.12793278538137	50.0	75.98722038830195	76	20.0	1.408337
WT_2_SRR10045020	8.94118	93.7345	200.621163	2.816674	50.463499999999996	97.11329471796994	0.15356502551372225	76.0	76.0						
WT_3_1										63.24711825073225	50.0	75.98554938329109	76	30.0	1.223754
WT_3_2										61.8616632479119	51.0	75.98554938329109	76	20.0	1.223754
WT_3_SRR10045021	5.2405800000000005	88.01	163.676883	2.447508	50.8439	94.55072808651586	0.16086126449934057	76.0	76.0						
