Module	Section	Sample Name	Source
fastp	all_sections	KO_1_SRR10045016	/home/babas/kaust_20CH/qc_reports/fastp/KO_1.json
fastp	all_sections	KO_2_SRR10045017	/home/babas/kaust_20CH/qc_reports/fastp/KO_2.json
fastp	all_sections	KO_3_SRR10045018	/home/babas/kaust_20CH/qc_reports/fastp/KO_3.json
fastp	all_sections	WT_1_SRR10045019	/home/babas/kaust_20CH/qc_reports/fastp/WT_1.json
fastp	all_sections	WT_2_SRR10045020	/home/babas/kaust_20CH/qc_reports/fastp/WT_2.json
fastp	all_sections	WT_3_SRR10045021	/home/babas/kaust_20CH/qc_reports/fastp/WT_3.json
FastQC	all_sections	KO_1_1	/home/babas/kaust_20CH/qc_reports/fastqc_trimmed/KO_1_1.trim_fastqc.zip
FastQC	all_sections	KO_1_2	/home/babas/kaust_20CH/qc_reports/fastqc_trimmed/KO_1_2.trim_fastqc.zip
FastQC	all_sections	KO_2_1	/home/babas/kaust_20CH/qc_reports/fastqc_trimmed/KO_2_1.trim_fastqc.zip
FastQC	all_sections	KO_2_2	/home/babas/kaust_20CH/qc_reports/fastqc_trimmed/KO_2_2.trim_fastqc.zip
FastQC	all_sections	KO_3_1	/home/babas/kaust_20CH/qc_reports/fastqc_trimmed/KO_3_1.trim_fastqc.zip
FastQC	all_sections	KO_3_2	/home/babas/kaust_20CH/qc_reports/fastqc_trimmed/KO_3_2.trim_fastqc.zip
FastQC	all_sections	WT_1_1	/home/babas/kaust_20CH/qc_reports/fastqc_trimmed/WT_1_1.trim_fastqc.zip
FastQC	all_sections	WT_1_2	/home/babas/kaust_20CH/qc_reports/fastqc_trimmed/WT_1_2.trim_fastqc.zip
FastQC	all_sections	WT_2_1	/home/babas/kaust_20CH/qc_reports/fastqc_trimmed/WT_2_1.trim_fastqc.zip
FastQC	all_sections	WT_2_2	/home/babas/kaust_20CH/qc_reports/fastqc_trimmed/WT_2_2.trim_fastqc.zip
FastQC	all_sections	WT_3_1	/home/babas/kaust_20CH/qc_reports/fastqc_trimmed/WT_3_1.trim_fastqc.zip
FastQC	all_sections	WT_3_2	/home/babas/kaust_20CH/qc_reports/fastqc_trimmed/WT_3_2.trim_fastqc.zip
