"","WT_1","WT_2","WT_3","KO_1","KO_2","KO_3"
"ENSG00000000003",0,1,0,0,0,0
"ENSG00000000005",0,0,0,0,0,0
"ENSG00000000419",3835,3883.999,3426.001,3431.002,3309.935,3220.015
"ENSG00000000457",0,0,0,0,0,0
"ENSG00000000460",0,0,0,0,0,0
"ENSG00000000938",0,0,0,0,0,0
"ENSG00000000971",0,0,0,0,0,0
"ENSG00000001036",0,0,0,0,0,0
"ENSG00000001084",0,0,0,0,0,0
"ENSG00000001167",0,0,0,0,0,0
"ENSG00000001460",1,1.004,3.008,1,3.47,1.205
"ENSG00000001461",1,0,0,0,0,0
"ENSG00000001497",0,0,0,0,0,0
"ENSG00000001561",0,0,0,0,0,0
"ENSG00000001617",0,0,0,0,0,0
"ENSG00000001626",0,0,0,0,0,0
"ENSG00000001629",0,0,0,0,0,0
"ENSG00000001630",0,0,0,0,0,0
"ENSG00000001631",0,0,0,0,1,1
"ENSG00000002016",0,0,0,0,0,0
"ENSG00000002330",0,0,0,0,0,0
"ENSG00000002549",0,0,0,0,0,0
"ENSG00000002587",0,0,0,0,0,0
"ENSG00000002726",0,0,0,0,0,0
"ENSG00000002745",0,0,0,0,0,0
"ENSG00000002746",0,0,0,0,0,0
"ENSG00000002822",0,0,0,0,0,0
"ENSG00000002834",0,0,0,1,0,1
"ENSG00000002919",0,0,0,0,0,0
"ENSG00000002933",0,0,0,0,0,0
"ENSG00000003056",0,0,0,0,0,0
"ENSG00000003096",0,0,0,0,0,0
"ENSG00000003137",0,0,0,0,0,0
"ENSG00000003147",0,0,0,0,0,0
"ENSG00000003249",0,0,0,0,0,0
"ENSG00000003393",1,0,0,0,1,0
"ENSG00000003400",1,0,0,0,0,0
"ENSG00000003402",6.283,12.835,9.526,5,11.02,6.009
"ENSG00000003436",3.499,1,6,3.195,1,1.085
"ENSG00000003509",0,0,0,0,0,0
"ENSG00000003756",0,0,1,0,1,1
"ENSG00000003987",0,0,0,0,0,0
"ENSG00000003989",0,0,0,0,0,0
"ENSG00000004059",0,0,0,0,0,0
"ENSG00000004139",0,0,0,0,0,0
"ENSG00000004142",0,0,0,0,0,0
"ENSG00000004399",0,0,0,0,0,0
"ENSG00000004455",3,0,1,0,1,1
"ENSG00000004468",0,0,0,0,0,0
"ENSG00000004478",0,0,0,0,0,0
"ENSG00000004487",0,0,1.001,0,0,1
"ENSG00000004534",0,1,0,0,0,0
"ENSG00000004660",0,0,0,0,0,0
"ENSG00000004700",0,0,0,0,0,0
"ENSG00000004766",1,0.998,0,0,0,0
"ENSG00000004776",0,0,0,0,0,0
"ENSG00000004777",0,0,0,0,0,0
"ENSG00000004779",0,0,0,0,0,0
"ENSG00000004799",0,0,0,0,0,0
"ENSG00000004809",0,0,0,0,0,0
"ENSG00000004838",0,0,0,0,0,0
"ENSG00000004846",0,0,0,0,1,0
"ENSG00000004848",0,0,0,0,0,0
"ENSG00000004864",0,0,0,0,0,0
"ENSG00000004866",0,0,0,0,0,0
"ENSG00000004897",3,6,7,2,5,6
"ENSG00000004939",0,0,0,0,0,0
"ENSG00000004948",0,0,0,0,0,0
"ENSG00000004961",0,0,0,0,0,0
"ENSG00000004975",0,0,0,0,0,0
"ENSG00000005001",0,0,0,0,0,0
"ENSG00000005007",0,0,0,0,0,0
"ENSG00000005020",0,0,0,0,0,0
"ENSG00000005022",0,0,0,0,0,0
"ENSG00000005059",0,0,0,0,0,0
"ENSG00000005073",0,0,0,0,0,0
"ENSG00000005075",0,0,0,0,0,0
"ENSG00000005100",0,0,0,0,0,0
"ENSG00000005102",0,0,0,0,0,0
"ENSG00000005108",0,0,0,0,0,0
"ENSG00000005156",2.001,1.994,1.984,0,1.001,0
"ENSG00000005175",0,0,0,0,0,0
"ENSG00000005187",0,0,0,0,0,0
"ENSG00000005189",0,0,0,0,0,0
"ENSG00000005194",0,0,0,0,0,0
"ENSG00000005206",1,0,0,0,0,1
"ENSG00000005238",0,0,0,0,0,0
"ENSG00000005243",0,0,0,0,0,0
"ENSG00000005249",0,0,0,0,0,1
"ENSG00000005302",0,0,0,0,0,0
"ENSG00000005339",0,0,0,0,0,0
"ENSG00000005379",0,0,0,0,0,0
"ENSG00000005381",0,0,0,0,0,0
"ENSG00000005421",1,0,0,0,0,1
"ENSG00000005436",0,0,0,0,0,0
"ENSG00000005448",0,0,0,0,0,0
"ENSG00000005469",0,0,0,0,0,0
"ENSG00000005471",0,0,0,0,0,0
"ENSG00000005483",0,0,0,0,0,0
"ENSG00000005486",0,0,0,0,0,0
"ENSG00000005513",0,0,0,0,0,0
"ENSG00000005700",0,0,1,0,0,0
"ENSG00000005801",1.996,1,2.003,1,1,2.999
"ENSG00000005810",1,0,1,0.998,0,0
"ENSG00000005812",0,0,0,0,0,0
"ENSG00000005844",0,2,0,0,0,0
"ENSG00000005882",0,0,0,0,0,0
"ENSG00000005884",0,0,0,1,1,0
"ENSG00000005889",0,0,0,0,0,0
"ENSG00000005893",1,0,1,0,1,0
"ENSG00000005961",0,0,0,0,0,0
"ENSG00000005981",0,0,0,0,0,0
"ENSG00000006007",0,0,0,0,0,0
"ENSG00000006015",4.326,4.012,3.945,0,4.928,1
"ENSG00000006016",0,0,0,0,0,0
"ENSG00000006025",0,0,0,0,0,0
"ENSG00000006042",0,1,0,0,0,0
"ENSG00000006047",0,0,0,0,0,0
"ENSG00000006062",0,0,0,0,0,0
"ENSG00000006071",0,0,0,0,0,0
