"","WT_1","WT_2","WT_3","KO_1","KO_2","KO_3"
"ENSG00000000003",0,1,0,0,0,0
"ENSG00000000419",3835,3883.999,3426.001,3431.002,3309.935,3220.015
"ENSG00000001460",1,1.004,3.008,1,3.47,1.205
"ENSG00000001461",1,0,0,0,0,0
"ENSG00000001631",0,0,0,0,1,1
"ENSG00000002834",0,0,0,1,0,1
"ENSG00000003393",1,0,0,0,1,0
"ENSG00000003400",1,0,0,0,0,0
"ENSG00000003402",6.283,12.835,9.526,5,11.02,6.009
"ENSG00000003436",3.499,1,6,3.195,1,1.085
"ENSG00000003756",0,0,1,0,1,1
"ENSG00000004455",3,0,1,0,1,1
"ENSG00000004487",0,0,1.001,0,0,1
"ENSG00000004534",0,1,0,0,0,0
"ENSG00000004766",1,0.998,0,0,0,0
"ENSG00000004846",0,0,0,0,1,0
"ENSG00000004897",3,6,7,2,5,6
"ENSG00000005156",2.001,1.994,1.984,0,1.001,0
"ENSG00000005206",1,0,0,0,0,1
"ENSG00000005249",0,0,0,0,0,1
"ENSG00000005421",1,0,0,0,0,1
"ENSG00000005700",0,0,1,0,0,0
"ENSG00000005801",1.996,1,2.003,1,1,2.999
"ENSG00000005810",1,0,1,0.998,0,0
"ENSG00000005844",0,2,0,0,0,0
"ENSG00000005884",0,0,0,1,1,0
"ENSG00000005893",1,0,1,0,1,0
"ENSG00000006015",4.326,4.012,3.945,0,4.928,1
"ENSG00000006042",0,1,0,0,0,0
"ENSG00000006210",0,0,1,0,0,0
"ENSG00000006451",5,2.147,2,1,2.087,3.001
"ENSG00000006530",0,1,0,0,0,0
"ENSG00000006534",0,0,0,1,0,0
"ENSG00000006576",0,1,0,0,0,0
"ENSG00000006638",3,1,2,2,0,3
"ENSG00000006695",0,0,0,0,1,1
"ENSG00000006704",2,0,0,0,0,0
"ENSG00000006715",2,0,0,0,0,0
"ENSG00000006747",3.99,3,1.029,0,0,0
"ENSG00000006756",3,2,1,1,2,2
"ENSG00000006831",0,2,1,0,1.003,0
"ENSG00000006837",0,0,0,0,1,0
"ENSG00000007062",0,0,0,0,0,1.17
"ENSG00000007168",0,3.376,0,1.093,1.017,0
"ENSG00000007341",0,0,0,0,0.998,0
"ENSG00000007541",0,0,0,1,0,0
"ENSG00000007933",0,0,0,0,0,1
"ENSG00000008086",1.001,2,0,0,0,0
"ENSG00000008283",0,1,0,0,0,0
"ENSG00000008294",0,1,0,0,0,0
"ENSG00000008513",0,0,0,0,1,0
"ENSG00000008517",0,1.003,0,1.997,0,0
"ENSG00000008710",0,0,0,1,0,1
"ENSG00000008988",0,1.995,1,1.988,0,1.214
"ENSG00000009413",0,1,0,0,1,0
"ENSG00000009765",0,1,0,0,0,0
"ENSG00000009780",1,0,0,1,2.019,0
"ENSG00000009830",3.035,1,0,0.896,0,1
"ENSG00000009844",1,1.125,1,1.011,0,1.001
"ENSG00000010244",0,0,1,0,0,0
"ENSG00000010278",0,0,0,0,1,0
"ENSG00000010310",1,0,0,0,1,0
"ENSG00000010318",0,0,0,0,1,0
"ENSG00000010404",0,1,0,0,0,0
"ENSG00000010539",0,1,1,0,0,0
"ENSG00000010671",0,0,0,0,2,0
"ENSG00000010704",0,1.003,0,1.007,1,0
"ENSG00000010810",0,0,3,1,0,1
"ENSG00000011021",0,0,1,0,0,0
"ENSG00000011105",1,1,0,0,0,0
"ENSG00000011132",0,2,0.997,1,1,0
"ENSG00000011143",0,0,0,0,0,1
"ENSG00000011198",0,0,0,0,0,1
"ENSG00000011295",0,1,0,0,0,0
"ENSG00000011405",0,1.056,0,2,0,1
"ENSG00000011454",1,0,0,0,0,0
"ENSG00000011465",1,0,0,0,0,0
"ENSG00000011478",0,0,0,1,0,1
"ENSG00000011523",0,0,0,0,1,1
"ENSG00000011638",0,0,0,0,0.997,0
"ENSG00000012048",2,0,0,2,1,1
"ENSG00000012174",0,0,0,0.995,0,0
"ENSG00000012232",1,1,2,1,0,1
"ENSG00000012983",1,0,0,0,0,0
"ENSG00000013288",0,0,1,0,0,0
"ENSG00000013364",0,0,1,0,0,0
"ENSG00000013374",0,0,1,0,0.974,0
"ENSG00000013375",0,2,0.998,0,0,0
"ENSG00000013561",1,1,1,0,1,2
"ENSG00000013588",0,1,0,1,0,1.993
"ENSG00000014138",0,1,0,0,0,2
"ENSG00000015171",1,2,1,1,0,3.688
"ENSG00000015479",0,0,0,1,0,0
"ENSG00000016391",0,2,0,0,0,0
"ENSG00000017427",0,0,0,1,0,0
"ENSG00000017797",0,0,2,2,0,2.011
"ENSG00000018280",0,1,0,0,0,0
"ENSG00000018610",1,0,2.582,4.103,4.358,1.376
"ENSG00000019144",0,1,0.975,1,1,1
"ENSG00000019186",5,17,19,9,5,6
"ENSG00000019582",0,2.753,1,0,1,1
"ENSG00000020256",2349.002,2165.001,2144,1779,1802,1696
"ENSG00000021574",1.991,1.909,1,1,0,0
"ENSG00000022277",4306.998,4414.997,3886.843,4116.001,4218,3862.001
"ENSG00000022840",1,0,0,0,0,1
"ENSG00000023041",1,1,0,1.001,1,0
"ENSG00000023171",0,0,0,0,0,1
"ENSG00000023318",0,2,0,0,1,0
"ENSG00000023839",0,0,0,0,0,1.149
"ENSG00000023892",0,1,0,0,3,1
"ENSG00000024048",0,0,0,0,1,0
"ENSG00000025293",7076,7876.994,6535,7927.003,7926.878,7518.951
"ENSG00000025423",3,0,2,0,0,0
"ENSG00000025770",0,0,1,1,0,1
"ENSG00000025772",4504.999,4595.999,4186,3649,3923,3457
"ENSG00000026036",486.365,589.818,476.68,316.567,365.157,470.555
"ENSG00000026103",0,2,1,0,0,0
"ENSG00000026297",1,0,1.079,0,0,0
"ENSG00000026559",10,25.001,11,100,118.001,99
"ENSG00000026751",0,0,1,0,0,0
"ENSG00000026950",0,0,0,0,1,0
"ENSG00000030110",299,281,310,241,246,260
"ENSG00000031698",0,1,0,0,0,0
"ENSG00000031823",0,1,0,0,0,0
"ENSG00000032742",0,0,0,1,0,0
"ENSG00000033011",2.275,0,2,0,1.999,0
"ENSG00000033030",1.924,1.002,1.997,0,1,1.001
"ENSG00000033050",0,3,2,0,0,1
"ENSG00000033122",0,0,0,1,0,1
"ENSG00000033170",0,1.847,0,0,0,0.901
"ENSG00000033627",0,0,0,0,0,2
"ENSG00000034053",0,0,1,0,1,1
"ENSG00000035115",0,1,3,2,2.999,1
"ENSG00000035403",43,27,33,29,31,20
"ENSG00000035664",2.001,3,1,0,2,2
"ENSG00000036530",1,2,1.998,0,0,2
"ENSG00000036828",0,1.992,0,0,0.977,0
"ENSG00000037757",1.785,2.922,1,0,0,0
"ENSG00000038532",0,0,0,0,0.972,0
"ENSG00000039123",0,0,0,1.95,1,0
"ENSG00000039537",2,2,0,1,2,0
"ENSG00000040199",0,2,0,0,0,1
"ENSG00000041353",2,0,2,0,1,0
"ENSG00000042062",1,1,2,4,3,5.404
"ENSG00000042286",1.001,2.181,1,0.998,2,0
"ENSG00000042429",0,0,1,0,0,0
"ENSG00000044524",0,0,0,1,0,0
"ENSG00000046604",0,0,0,0,1,0
"ENSG00000046647",0,0,0,0,1,0
"ENSG00000046651",1,0,0,0,0,0
"ENSG00000046889",0,0,0,1,0,0
"ENSG00000047188",1,0,0,0,0,2
"ENSG00000047410",1,0,0,0,0,0
"ENSG00000047849",0,1,0,0,1,1
"ENSG00000047936",0,0,0,1,0,1
"ENSG00000048028",1,0,0,0,0,0
"ENSG00000048342",0,1,1,1,0,1
"ENSG00000048545",0,5,2.868,4.018,3.82,0
"ENSG00000048649",0,1,0,0,0,0
"ENSG00000049130",0,1.291,0,0.999,0,1
"ENSG00000049167",1.001,0,0,0,1,1
"ENSG00000049239",1,0,0,0,1,0
"ENSG00000049249",0,0,1,0,0,0
"ENSG00000049541",0,1,0,1,0,0
"ENSG00000049618",0,0,0,0,0,1
"ENSG00000049759",0,2,0,0,0,0
"ENSG00000049883",0,1.07,0,0,0,0
"ENSG00000050130",0,1.596,0,0.876,0,0
"ENSG00000050393",0,2,0.956,0,1,2
"ENSG00000050426",0,2.009,0,1,0,1
"ENSG00000050438",3.997,2,0,0,0,3.998
"ENSG00000050748",1,0,0,0,0,0
"ENSG00000051341",0,0,0,0,1,1
"ENSG00000051596",0,1,0,0,0,0
"ENSG00000051825",2,4,0,3,5,4
"ENSG00000052126",2,1,0,0,3,1
"ENSG00000052723",0,0,0,1,0,0
"ENSG00000052802",0,0,0,0,1,0
"ENSG00000053372",0,1,0,0,0,0
"ENSG00000053438",2,0,4,1,0,1
"ENSG00000053501",0,5,1,0,0,0
"ENSG00000053524",0,0,2.003,3.437,1.002,0
"ENSG00000054118",0,0,0,0,0,1
"ENSG00000054267",0,0,0,1,0,0
"ENSG00000054282",0,0,1,0,0,0
"ENSG00000054523",0,3.002,1,1,0,0
"ENSG00000054611",0,1,0,0,0,0
"ENSG00000054654",0,1.007,0,0,0,1.176
"ENSG00000054690",1.998,0,1,0,0,3.003
"ENSG00000054793",4819,5048,4671,3351,3539,3557
"ENSG00000055211",0,0,0,0,1,0
"ENSG00000055332",0,4,0,0,2.089,1
"ENSG00000055950",0,1.676,1,1,1,1
"ENSG00000056972",0,1,1,1,2,1
"ENSG00000057019",0,0,0,0,1,0
"ENSG00000057252",0,0,0,1,0,1
"ENSG00000057663",0,1,0,1,0,0
"ENSG00000057935",0,0,1,0,0,0
"ENSG00000058056",5.864,0,1,3.999,0,1.077
"ENSG00000058091",0,0,1,0,0,0
"ENSG00000058262",0,1,0,0,0,1
"ENSG00000059122",5,0,3,1,0,0
