Sample	Unique Reads	Duplicate Reads
KO_1_1	441935.0	763402.0
KO_1_2	445192.0	760145.0
KO_2_1	460670.0	769843.0
KO_2_2	458447.0	772066.0
KO_3_1	460542.0	702595.0
KO_3_2	454233.0	708904.0
WT_1_1	469628.0	865192.0
WT_1_2	474320.0	860500.0
WT_2_1	511583.0	896754.0
WT_2_2	519283.0	889054.0
WT_3_1	449765.0	773989.0
WT_3_2	466720.0	757034.0
